                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0615,                   5.16,                 3.2586,                 2.9546,                0.47041,                0.46259,                0.42073,                0.21375,                0.47596,                0.45262,                0.40542,                0.19373,                   1.86,                 2.7813,                  2.956,                 2.3944,              0.0033178,              0.0033178,              0.0033178
                      2,                 1.5277,                 2.2893,                 1.6749,                  1.681,                0.88537,                  0.809,                 0.8717,                0.59241,                0.87855,                0.80276,                0.85054,                0.52202,                 1.1693,                 1.8365,                 1.2259,                  1.633,              0.0066292,              0.0066292,              0.0066292
                      3,                 1.1516,                 1.7864,                 1.1242,                  1.383,                0.76982,                0.66209,                0.75123,                0.47767,                0.77104,                0.62095,                0.71034,                0.41901,                 1.3777,                 2.0051,                 1.6398,                 1.8095,              0.0099186,              0.0099186,              0.0099186
                      4,                0.95142,                  1.403,                0.84241,                 1.2348,                0.94597,                0.91521,                0.93383,                0.73959,                 0.9421,                0.91147,                0.92964,                   0.72,                 0.8243,                 1.1831,                 0.6185,                 1.3201,               0.009901,               0.009901,               0.009901
                      5,                0.79688,                  1.159,                0.69127,                 1.1343,                0.95736,                0.92384,                0.94645,                0.78789,                0.95348,                 0.9201,                0.94133,                0.76349,                0.70498,                 1.0607,                 0.5397,                    1.2,               0.009901,               0.009901,               0.009901
                      6,                0.71339,                 1.0744,                0.60893,                 1.0831,                0.97411,                0.93837,                0.94953,                0.81827,                0.97023,                0.93463,                0.94602,                0.78881,                 0.6025,                0.95571,                0.46811,                 1.1005,               0.009868,               0.009868,               0.009868
                      7,                0.65201,                0.98814,                0.55456,                 1.0538,                0.96481,                0.92289,                0.94813,                0.83774,                0.96099,                0.92139,                 0.9409,                0.81213,                0.54608,                0.89981,                0.44469,                 1.0634,               0.009835,               0.009835,               0.009835
                      8,                0.61668,                 0.9526,                0.52559,                 1.0344,                0.97672,                0.94167,                0.94774,                0.84686,                0.97543,                0.94047,                0.94763,                0.81509,                0.51676,                0.86651,                0.41511,                 1.0274,               0.009802,               0.009802,               0.009802
                      9,                0.58619,                0.91724,                0.49772,                 1.0194,                0.97478,                0.93142,                0.95773,                0.85888,                0.97347,                0.93017,                0.95476,                0.82777,                0.49357,                0.83501,                0.41403,                  1.016,               0.009769,               0.009769,               0.009769
                     10,                 0.5611,                0.89969,                0.48021,                  1.006,                0.97775,                 0.9315,                 0.9539,                0.87435,                0.97644,                0.93026,                0.95255,                0.82936,                0.46525,                0.82219,                0.39377,                0.98744,               0.009736,               0.009736,               0.009736
                     11,                0.53586,                0.85618,                0.45577,                0.99425,                0.97653,                0.93373,                0.95671,                0.87311,                0.97522,                0.93248,                0.95312,                0.83175,                0.45537,                0.81093,                0.38145,                0.98809,               0.009703,               0.009703,               0.009703
                     12,                0.51274,                0.84454,                0.44536,                0.98561,                0.96911,                0.94264,                0.95122,                  0.878,                0.96917,                 0.9414,                0.94645,                 0.8357,                0.43487,                0.79927,                0.39016,                 0.9768,                0.00967,                0.00967,                0.00967
