epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.653,0.37895,0.82524,0.66457,0.94736,0.99064,0.94389,0.95986,0.91301,0.98634,0.94389,0.95752,0.86997,0.35905,0.7413,0.33075,0.93417,0.00331783,0.00331783,0.00331783
2,266.823,0.43159,0.72137,0.40628,0.95789,0.98059,0.94506,0.95791,0.88526,0.97671,0.94132,0.95373,0.85222,0.4402,0.75761,0.39875,0.9856,0.00662921,0.00662921,0.00662921
3,397.89,0.50617,0.78418,0.46321,0.98874,0.95016,0.90322,0.93966,0.81682,0.94854,0.899,0.93533,0.75656,0.57709,1.36133,0.6175,1.14792,0.0099186,0.0099186,0.0099186
4,533.733,0.57303,0.88012,0.50457,1.02641,0.94544,0.92394,0.94164,0.81819,0.94389,0.92643,0.93751,0.73082,0.59654,1.15985,0.52506,1.15636,0.009901,0.009901,0.009901
5,663.256,0.5525,0.86342,0.47068,1.0114,0.97141,0.93203,0.94855,0.85774,0.95907,0.93493,0.94411,0.80506,0.4969,0.98238,0.41981,1.05084,0.009868,0.009868,0.009868
6,793.584,0.51985,0.80795,0.43943,0.99602,0.97642,0.92921,0.9536,0.88072,0.97656,0.93267,0.95304,0.83442,0.43594,0.84912,0.40255,0.98991,0.009835,0.009835,0.009835
7,923.895,0.49348,0.7912,0.41783,0.98193,0.95816,0.91365,0.93774,0.84064,0.95837,0.88976,0.92257,0.74175,0.50848,1.22505,0.4483,1.08276,0.009802,0.009802,0.009802
8,1054.44,0.47284,0.76761,0.39811,0.97221,0.98037,0.93766,0.9564,0.89127,0.97907,0.93641,0.95529,0.84111,0.41754,0.83433,0.35608,0.98666,0.009769,0.009769,0.009769
9,1189.56,0.45114,0.73985,0.37964,0.96209,0.97935,0.9389,0.95764,0.90289,0.97782,0.93436,0.95114,0.84661,0.36141,0.81835,0.32069,0.93415,0.009736,0.009736,0.009736
10,1326.19,0.44896,0.74721,0.37515,0.9607,0.97394,0.93766,0.95348,0.88756,0.97265,0.93641,0.94772,0.84251,0.39759,0.79161,0.36234,0.97043,0.009703,0.009703,0.009703
11,1465.42,0.42704,0.72745,0.35853,0.95125,0.98059,0.94477,0.95407,0.90816,0.98188,0.94601,0.95402,0.85926,0.356,0.75228,0.3105,0.9288,0.00967,0.00967,0.00967
12,1594.25,0.42226,0.72749,0.3547,0.94772,0.97639,0.94638,0.96171,0.91567,0.97639,0.94638,0.95734,0.8663,0.33421,0.74516,0.29911,0.9239,0.009637,0.009637,0.009637
13,1727.46,0.4158,0.71348,0.35037,0.95041,0.98731,0.93641,0.95879,0.91261,0.98599,0.93516,0.9548,0.86043,0.32928,0.72875,0.29448,0.91058,0.009604,0.009604,0.009604
14,1855.22,0.40453,0.69996,0.3405,0.94157,0.98989,0.94264,0.96169,0.911,0.98858,0.9414,0.95773,0.86689,0.34913,0.72605,0.30685,0.92554,0.009571,0.009571,0.009571
15,1984.64,0.40066,0.69772,0.33436,0.94036,0.98441,0.9414,0.95976,0.91475,0.98817,0.94264,0.9581,0.86717,0.32411,0.73351,0.29447,0.90828,0.009538,0.009538,0.009538
16,2112.52,0.38945,0.68816,0.3277,0.93512,0.99086,0.94578,0.96366,0.91944,0.99216,0.94702,0.96465,0.87519,0.33066,0.68766,0.29285,0.91568,0.009505,0.009505,0.009505
17,2240.6,0.39098,0.68053,0.32219,0.93527,0.98316,0.94612,0.95764,0.91667,0.97927,0.94238,0.95521,0.86705,0.32679,0.7635,0.28953,0.91406,0.009472,0.009472,0.009472
18,2368.38,0.38643,0.67967,0.3236,0.93249,0.99023,0.9389,0.96288,0.92124,0.98891,0.93766,0.96104,0.87661,0.31769,0.67887,0.27493,0.90613,0.009439,0.009439,0.009439
