epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9442,3.09559,6.71799,3.64032,4.19891,0.00242,0.6808,0.0084,0.00386,0,0,0,0,2.93655,5.18436,3.99433,4.1479,0.0032716,0.0032716,0.0032716
2,61.7423,2.921,3.46833,3.10699,3.82468,0.00264,0.72319,0.31436,0.13795,0.00288,0.78928,0.30856,0.14478,2.67141,3.70835,3.41443,3.81735,0.00657224,0.00657224,0.00657224
3,87.4226,2.2643,2.35086,2.2272,2.98403,0.77262,0.69576,0.72564,0.36104,0.754,0.66882,0.68943,0.37494,1.89674,2.32759,1.78805,2.58782,0.00983988,0.00983988,0.00983988
4,113.144,1.54213,1.88529,1.36948,2.19822,0.79373,0.78055,0.80783,0.46542,0.80477,0.77307,0.80166,0.46824,1.37706,1.9099,2.03011,2.21255,0.0098515,0.0098515,0.0098515
5,138.691,1.1846,1.56184,1.00625,1.79572,0.83121,0.84122,0.85087,0.6018,0.84079,0.83626,0.84256,0.58425,1.01785,1.68015,1.22296,1.73648,0.009802,0.009802,0.009802
6,164.468,1.01709,1.36657,0.84453,1.60343,0.90373,0.87406,0.89474,0.63846,0.91502,0.86783,0.89363,0.63074,0.93218,1.39166,1.16699,1.61966,0.0097525,0.0097525,0.0097525
7,190.195,0.91534,1.24779,0.74482,1.48441,0.94624,0.89027,0.93671,0.72936,0.95081,0.88279,0.93103,0.71406,0.86084,1.26847,0.59414,1.49082,0.009703,0.009703,0.009703
8,215.231,0.84717,1.14419,0.68064,1.41655,0.96074,0.90025,0.93132,0.74803,0.95845,0.89169,0.92591,0.69161,0.79033,1.3137,0.75561,1.42113,0.0096535,0.0096535,0.0096535
9,240.285,0.79411,1.0891,0.63387,1.35484,0.96393,0.92519,0.95397,0.81532,0.9637,0.91895,0.94874,0.78428,0.65076,1.07568,0.47612,1.26538,0.009604,0.009604,0.009604
10,265.605,0.75248,1.03799,0.6034,1.30027,0.96241,0.90773,0.94276,0.79708,0.96442,0.90025,0.93485,0.75146,0.67451,1.15692,0.5071,1.30635,0.0095545,0.0095545,0.0095545
