epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2719,3.0708,6.00445,3.57073,4.1595,0.00252,0.68579,0.03444,0.01376,0,0,0,0,2.88451,4.96913,3.80035,4.12241,0.00330247,0.00330247,0.00330247
2,58.0139,2.5595,2.76909,2.59234,3.3967,0.23116,0.55362,0.20238,0.07658,0.23757,0.56484,0.20702,0.08922,2.0876,2.78726,2.77723,2.99741,0.00660296,0.00660296,0.00660296
3,86.1176,1.69783,2.06116,1.57814,2.41703,0.7328,0.74203,0.72654,0.44832,0.70737,0.75653,0.71386,0.43984,1.34473,2.24646,1.79399,2.08976,0.00987044,0.00987044,0.00987044
4,114.821,1.21462,1.62211,1.05308,1.82313,0.893,0.80923,0.87984,0.61892,0.90864,0.80673,0.87483,0.60454,1.04969,1.67746,1.10648,1.7354,0.0098515,0.0098515,0.0098515
5,142.787,0.98812,1.33698,0.81206,1.5577,0.92267,0.90754,0.92278,0.70668,0.91788,0.90584,0.91998,0.688,0.89927,1.31672,0.70108,1.53766,0.009802,0.009802,0.009802
6,171.429,0.86929,1.20016,0.71675,1.42323,0.96053,0.91023,0.93332,0.76145,0.94435,0.91397,0.92461,0.72183,0.6963,1.16568,0.59769,1.32304,0.0097525,0.0097525,0.0097525
7,199.05,0.79748,1.0908,0.6476,1.34106,0.96039,0.91521,0.94147,0.77778,0.95546,0.90942,0.93818,0.7647,0.70332,1.1365,0.57416,1.32266,0.009703,0.009703,0.009703
8,226.889,0.74042,1.02708,0.59664,1.28606,0.95377,0.9261,0.9466,0.81819,0.95825,0.91583,0.94477,0.78261,0.61939,1.0911,0.49049,1.23016,0.0096535,0.0096535,0.0096535
9,255.468,0.69892,0.97811,0.57515,1.24251,0.96961,0.91501,0.94688,0.81149,0.96428,0.90887,0.94244,0.78837,0.64115,1.07036,0.46447,1.24239,0.009604,0.009604,0.009604
10,282.921,0.66243,0.93448,0.53559,1.20712,0.97105,0.92009,0.9526,0.84078,0.96597,0.91646,0.94618,0.79617,0.56442,1.02333,0.45203,1.18128,0.0095545,0.0095545,0.0095545
11,310.648,0.63673,0.90347,0.51641,1.17982,0.98541,0.92768,0.94193,0.83596,0.9705,0.93766,0.94151,0.80566,0.53651,0.96668,0.43903,1.13938,0.009505,0.009505,0.009505
12,338.251,0.61334,0.86764,0.49927,1.15799,0.96582,0.93267,0.95323,0.84255,0.96324,0.93017,0.94644,0.80871,0.53827,0.97036,0.42938,1.15405,0.0094555,0.0094555,0.0094555
13,366.369,0.59468,0.8475,0.48956,1.14037,0.9655,0.91895,0.94945,0.84889,0.96681,0.9202,0.94662,0.81152,0.52966,0.95109,0.41805,1.14123,0.009406,0.009406,0.009406
14,394.342,0.58135,0.83512,0.48305,1.12933,0.97514,0.93267,0.95722,0.87681,0.97768,0.92869,0.95415,0.83516,0.4888,0.92332,0.38391,1.11134,0.0093565,0.0093565,0.0093565
15,421.821,0.55897,0.80927,0.45611,1.10854,0.97528,0.93017,0.94899,0.86836,0.96874,0.92394,0.94303,0.82444,0.48361,0.91658,0.39681,1.09356,0.009307,0.009307,0.009307
16,449.126,0.54161,0.78758,0.44567,1.09756,0.97735,0.92893,0.95346,0.86109,0.9665,0.93516,0.94984,0.83533,0.49632,0.88833,0.38589,1.11261,0.0092575,0.0092575,0.0092575
