epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.998,3.08197,6.44587,3.56088,4.18784,0.00257,0.6808,0.01131,0.00406,0,0,0,0,2.93151,5.17873,3.86792,4.15142,0.0032716,0.0032716,0.0032716
2,59.1414,2.69763,2.87694,2.74353,3.54342,0.00272,0.68579,0.02373,0.00719,0,0,0,0,3.16779,7.85934,3.32674,4.50144,0.00657224,0.00657224,0.00657224
3,82.962,2.07387,2.33604,2.0863,2.76132,0.76128,0.61845,0.70122,0.2463,0.81485,0.66708,0.75511,0.37162,2.17461,2.22354,2.99577,2.89951,0.00983988,0.00983988,0.00983988
4,107.644,1.5686,1.98411,1.46166,2.11913,0.81528,0.76683,0.81728,0.53144,0.81388,0.74688,0.79079,0.48326,1.30129,2.27763,1.70043,2.02461,0.0098515,0.0098515,0.0098515
5,131.531,1.2944,1.74304,1.12842,1.7811,0.89084,0.77431,0.85578,0.5713,0.88962,0.75373,0.82855,0.51317,1.26512,1.88443,1.0481,1.94391,0.009802,0.009802,0.009802
6,155.555,1.13491,1.54988,0.97699,1.60477,0.91472,0.85411,0.90372,0.62246,0.90841,0.84663,0.89079,0.60148,1.13182,1.61116,0.9314,1.78231,0.0097525,0.0097525,0.0097525
7,179.503,1.05404,1.42594,0.88822,1.51251,0.88201,0.84414,0.89495,0.65606,0.89857,0.81743,0.88011,0.62544,1.00995,1.50576,0.88641,1.62942,0.009703,0.009703,0.009703
8,203.058,0.97335,1.33424,0.81537,1.43627,0.94689,0.88778,0.91669,0.72946,0.94284,0.8844,0.91208,0.69464,0.83127,1.30736,0.69609,1.45517,0.0096535,0.0096535,0.0096535
9,227.032,0.93111,1.26063,0.77289,1.39152,0.95203,0.85786,0.91683,0.72619,0.94766,0.85785,0.91376,0.70266,0.80462,1.25221,0.67619,1.40116,0.009604,0.009604,0.009604
10,250.844,0.87895,1.20195,0.73209,1.33888,0.94598,0.84165,0.90207,0.69995,0.94598,0.84165,0.89666,0.68576,0.89594,1.27194,0.73618,1.49049,0.0095545,0.0095545,0.0095545
11,274.483,0.84083,1.1586,0.69713,1.29645,0.95883,0.89152,0.93417,0.75877,0.95749,0.89027,0.92445,0.73022,0.76937,1.14834,0.65426,1.35399,0.009505,0.009505,0.009505
12,298.186,0.8028,1.11278,0.66616,1.26046,0.94368,0.90524,0.93348,0.77677,0.94196,0.90399,0.92811,0.74436,0.72908,1.12068,0.61812,1.30751,0.0094555,0.0094555,0.0094555
13,322.004,0.78472,1.07443,0.64735,1.2373,0.95674,0.90993,0.93786,0.78848,0.95544,0.90897,0.93169,0.7567,0.67594,1.07723,0.55232,1.25102,0.009406,0.009406,0.009406
14,345.739,0.75373,1.0385,0.62693,1.20859,0.95599,0.92269,0.94001,0.79074,0.95539,0.91771,0.93287,0.75642,0.68972,1.13068,0.57866,1.25095,0.0093565,0.0093565,0.0093565
15,369.601,0.72304,1.01062,0.59793,1.18626,0.97011,0.92269,0.93832,0.7767,0.97098,0.92269,0.93556,0.75347,0.70199,1.05895,0.55934,1.25202,0.009307,0.009307,0.009307
16,393.733,0.70458,0.97999,0.58419,1.16607,0.95966,0.91946,0.93407,0.80249,0.95574,0.91555,0.92967,0.76105,0.64199,1.06359,0.57129,1.18761,0.0092575,0.0092575,0.0092575
17,417.244,0.67789,0.96498,0.5639,1.14116,0.95602,0.92155,0.93759,0.79635,0.95344,0.9193,0.93198,0.76523,0.65262,1.03183,0.54297,1.21126,0.009208,0.009208,0.009208
18,441.018,0.67576,0.95075,0.55732,1.13478,0.94538,0.90645,0.93303,0.79706,0.94018,0.90146,0.92515,0.75783,0.64476,1.0563,0.56976,1.2024,0.0091585,0.0091585,0.0091585
19,464.961,0.65692,0.9352,0.5487,1.12208,0.9564,0.92643,0.93907,0.79692,0.95824,0.91646,0.92994,0.76271,0.63175,1.01352,0.54278,1.1872,0.009109,0.009109,0.009109
20,489.071,0.64073,0.90683,0.5301,1.1099,0.97202,0.90979,0.94287,0.82067,0.97167,0.90648,0.93947,0.78092,0.60554,1.01375,0.50922,1.15506,0.0090595,0.0090595,0.0090595
21,513.107,0.62933,0.90925,0.52852,1.10479,0.97307,0.91771,0.94404,0.81945,0.97129,0.9202,0.93829,0.78695,0.59053,0.99108,0.49654,1.13508,0.00901,0.00901,0.00901
22,536.644,0.61725,0.89403,0.51082,1.09232,0.95859,0.92369,0.94428,0.828,0.956,0.9212,0.93947,0.78627,0.58125,0.99771,0.4983,1.13119,0.0089605,0.0089605,0.0089605
23,560.213,0.60084,0.87056,0.50197,1.08384,0.96807,0.91272,0.94133,0.82437,0.95024,0.92872,0.93581,0.7889,0.56997,0.98157,0.49927,1.12262,0.008911,0.008911,0.008911
24,584.017,0.5905,0.86478,0.49609,1.07551,0.95485,0.91397,0.9452,0.83797,0.95485,0.91397,0.94107,0.79201,0.56906,0.98683,0.48978,1.11729,0.0088615,0.0088615,0.0088615
25,607.885,0.58151,0.8494,0.48237,1.06829,0.95818,0.92893,0.95134,0.83238,0.95869,0.92598,0.94379,0.80313,0.58667,0.95641,0.4697,1.12845,0.008812,0.008812,0.008812
26,631.885,0.57461,0.84236,0.48071,1.06148,0.95468,0.93516,0.94085,0.8407,0.95234,0.93267,0.93728,0.79909,0.54705,0.96514,0.47748,1.09582,0.0087625,0.0087625,0.0087625
27,655.952,0.57041,0.84346,0.47498,1.05908,0.96776,0.91646,0.94917,0.85143,0.96776,0.91646,0.94502,0.81481,0.53889,0.95093,0.45829,1.09488,0.008713,0.008713,0.008713
28,679.486,0.56487,0.82359,0.46934,1.05788,0.97254,0.9272,0.9446,0.83403,0.97254,0.9272,0.9415,0.79668,0.56599,0.97683,0.46535,1.09708,0.0086635,0.0086635,0.0086635
29,703.559,0.55279,0.80948,0.45979,1.04872,0.96832,0.91482,0.939,0.83203,0.96776,0.91771,0.93797,0.79076,0.55974,0.98276,0.49559,1.11132,0.008614,0.008614,0.008614
30,727.048,0.55024,0.82295,0.45769,1.04495,0.96745,0.92648,0.94777,0.84984,0.96354,0.92274,0.94021,0.80475,0.52737,0.94555,0.44371,1.07301,0.0085645,0.0085645,0.0085645
31,750.747,0.53525,0.80203,0.44569,1.03916,0.96887,0.93142,0.94641,0.86008,0.96887,0.93142,0.94368,0.81551,0.50584,0.90513,0.43898,1.0507,0.008515,0.008515,0.008515
32,774.371,0.52697,0.78652,0.43889,1.03004,0.96493,0.92641,0.95005,0.85438,0.96364,0.92517,0.94553,0.80822,0.52709,0.95285,0.4521,1.07074,0.0084655,0.0084655,0.0084655
33,798.071,0.52311,0.77312,0.43054,1.02544,0.98143,0.92259,0.95027,0.86175,0.9801,0.92134,0.94612,0.81649,0.51241,0.91013,0.43221,1.05046,0.008416,0.008416,0.008416
34,821.764,0.52372,0.78269,0.43317,1.02935,0.96741,0.92536,0.94659,0.85086,0.9635,0.92162,0.93869,0.81226,0.51889,0.89568,0.44433,1.05166,0.0083665,0.0083665,0.0083665
35,845.456,0.51427,0.77113,0.42831,1.01985,0.97956,0.92394,0.95015,0.8643,0.97824,0.92269,0.94669,0.82522,0.49578,0.90223,0.42278,1.03832,0.008317,0.008317,0.008317
36,869.273,0.51013,0.77071,0.41828,1.02257,0.97659,0.93612,0.95167,0.85664,0.97525,0.93356,0.94608,0.81367,0.51419,0.88415,0.42989,1.0493,0.0082675,0.0082675,0.0082675
37,893.457,0.50184,0.75261,0.41617,1.00875,0.96091,0.91942,0.94695,0.85414,0.9689,0.90773,0.94421,0.80312,0.50547,0.94711,0.4334,1.03609,0.008218,0.008218,0.008218
38,917.008,0.49648,0.76656,0.41543,1.00968,0.97529,0.93492,0.95357,0.86559,0.97529,0.93492,0.94911,0.82321,0.47986,0.89161,0.40005,1.02501,0.0081685,0.0081685,0.0081685
39,940.998,0.48885,0.74523,0.40323,1.00294,0.97153,0.93622,0.95317,0.86833,0.96764,0.93208,0.94565,0.82412,0.48792,0.89206,0.40874,1.03074,0.008119,0.008119,0.008119
40,965.033,0.48311,0.73836,0.40259,0.99886,0.97612,0.91735,0.95001,0.86383,0.97481,0.91696,0.94399,0.82784,0.50455,0.91017,0.43612,1.03651,0.0080695,0.0080695,0.0080695
41,988.46,0.48707,0.74332,0.40295,1.0015,0.97876,0.92893,0.95129,0.87157,0.97744,0.92768,0.94766,0.83246,0.48162,0.86642,0.40167,1.02453,0.00802,0.00802,0.00802
42,1012.19,0.47483,0.7386,0.39337,0.99695,0.96148,0.93369,0.9535,0.8714,0.9602,0.93244,0.94731,0.82894,0.49002,0.88541,0.41848,1.03024,0.0079705,0.0079705,0.0079705
