epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4705,2.95253,4.85219,3.29149,4.01011,0.00253,0.68703,0.01059,0.00403,0.00114,0.31047,0.00703,0.00107,3.00242,5.12059,3.77862,4.22058,0.00330247,0.00330247,0.00330247
2,60.4382,2.13983,2.55254,2.13808,2.99008,0.71225,0.67591,0.70163,0.41062,0.73717,0.65396,0.68527,0.38971,1.49069,2.23812,2.37451,2.39051,0.00660296,0.00660296,0.00660296
3,86.9212,1.59283,2.1446,1.51897,2.30364,0.83062,0.7182,0.79952,0.5363,0.83315,0.71571,0.78334,0.47014,1.26284,2.51339,1.93354,2.04763,0.00987044,0.00987044,0.00987044
4,112.868,1.3061,1.80563,1.18486,1.94365,0.83928,0.74877,0.82618,0.55297,0.83177,0.73362,0.8123,0.51841,1.2382,1.84295,1.61649,1.97315,0.0098515,0.0098515,0.0098515
5,138.774,1.12488,1.55005,0.96265,1.72038,0.90895,0.84645,0.89587,0.65676,0.89693,0.83042,0.87331,0.58994,0.97259,1.88437,0.84829,1.64509,0.009802,0.009802,0.009802
6,164.6,1.02415,1.41167,0.8582,1.59197,0.85378,0.80424,0.85624,0.65691,0.84826,0.78055,0.82786,0.55277,0.94686,1.82961,1.03564,1.61586,0.0097525,0.0097525,0.0097525
7,190.339,0.95677,1.28504,0.79417,1.5148,0.94283,0.8616,0.91917,0.72688,0.9401,0.8591,0.9093,0.67303,0.82767,1.384,0.66807,1.45831,0.009703,0.009703,0.009703
8,216.114,0.9045,1.21948,0.73694,1.45876,0.92361,0.8895,0.92784,0.75523,0.93781,0.87157,0.91699,0.71143,0.74455,1.23846,0.62377,1.35814,0.0096535,0.0096535,0.0096535
9,242.102,0.86244,1.14743,0.70445,1.40449,0.92836,0.89776,0.93125,0.76102,0.93321,0.88903,0.9281,0.73701,0.74738,1.13603,0.62774,1.36158,0.009604,0.009604,0.009604
10,268.24,0.82744,1.09602,0.66952,1.36567,0.93719,0.91895,0.93663,0.76799,0.93464,0.91646,0.93422,0.75317,0.72272,1.10768,0.58551,1.3461,0.0095545,0.0095545,0.0095545
11,294.245,0.80325,1.04694,0.65078,1.33416,0.95276,0.90535,0.93855,0.78993,0.94885,0.90207,0.93258,0.75896,0.68967,1.09059,0.54877,1.28165,0.009505,0.009505,0.009505
