epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9247,3.04533,5.73312,3.47072,4.13356,0.00258,0.68579,0.01638,0.0064,0.00127,0.33666,0.00133,0.00016,2.94478,5.11218,3.81923,4.19162,0.00330247,0.00330247,0.00330247
2,60.289,2.42406,2.66215,2.49272,3.23092,0.68767,0.66984,0.69943,0.32761,0.71082,0.65212,0.68514,0.35333,1.83294,2.22416,2.23295,2.62577,0.00660296,0.00660296,0.00660296
3,86.7762,1.75764,2.1816,1.69682,2.35379,0.87676,0.62594,0.7403,0.41219,0.87477,0.57481,0.6849,0.37195,1.63522,2.58803,1.93935,2.39919,0.00987044,0.00987044,0.00987044
4,112.554,1.34298,1.8215,1.20367,1.83428,0.85533,0.74314,0.82655,0.52427,0.85438,0.73157,0.81401,0.49987,1.35195,1.7821,1.31756,2.01399,0.0098515,0.0098515,0.0098515
5,138.316,1.14173,1.56607,0.97846,1.5868,0.91449,0.81671,0.88331,0.64705,0.90789,0.78652,0.84324,0.5387,1.02645,1.80238,0.90089,1.64161,0.009802,0.009802,0.009802
6,164.13,1.02383,1.40816,0.87186,1.46078,0.92007,0.85786,0.90582,0.69085,0.92096,0.8616,0.90178,0.65693,0.90588,1.41315,0.82721,1.51234,0.0097525,0.0097525,0.0097525
7,190.017,0.93698,1.27646,0.79025,1.3697,0.95267,0.87841,0.93191,0.72693,0.94625,0.87801,0.92521,0.70114,0.84927,1.27733,0.66518,1.43398,0.009703,0.009703,0.009703
8,215.81,0.86398,1.20117,0.72186,1.30182,0.93936,0.87781,0.92417,0.74685,0.93706,0.87253,0.91736,0.69944,0.80832,1.2865,0.66784,1.37432,0.0096535,0.0096535,0.0096535
9,241.495,0.82114,1.14007,0.69245,1.25577,0.94026,0.86346,0.92645,0.7352,0.93818,0.85786,0.91349,0.69448,0.80305,1.34671,0.64247,1.36717,0.009604,0.009604,0.009604
10,267.217,0.78488,1.08874,0.65617,1.22279,0.93955,0.9015,0.93444,0.78315,0.95469,0.87905,0.92862,0.7284,0.71689,1.20675,0.58524,1.25783,0.0095545,0.0095545,0.0095545
11,292.871,0.74239,1.04683,0.62322,1.18402,0.95965,0.91895,0.9381,0.79402,0.95423,0.90995,0.92977,0.7517,0.68002,1.1236,0.64221,1.20863,0.009505,0.009505,0.009505
12,318.308,0.7136,1.01007,0.59571,1.15701,0.95034,0.91272,0.93968,0.78983,0.93978,0.91397,0.93124,0.74305,0.66828,1.14287,0.55596,1.19959,0.0094555,0.0094555,0.0094555
13,344.056,0.69544,0.98866,0.58183,1.13986,0.96252,0.89277,0.93371,0.79991,0.96116,0.89277,0.93217,0.75517,0.66785,1.10025,0.54178,1.19238,0.009406,0.009406,0.009406
14,369.6,0.67809,0.96659,0.57165,1.12464,0.97687,0.89529,0.94552,0.80523,0.97415,0.8928,0.93788,0.7679,0.662,1.07846,0.53232,1.1938,0.0093565,0.0093565,0.0093565
15,395.713,0.65014,0.92534,0.54298,1.10652,0.94723,0.91771,0.93682,0.80435,0.94594,0.91646,0.93235,0.7682,0.62812,1.09217,0.52775,1.157,0.009307,0.009307,0.009307
16,420.801,0.63028,0.90599,0.53027,1.09312,0.96594,0.9194,0.94389,0.82509,0.96463,0.91815,0.94284,0.77933,0.61076,1.02766,0.50381,1.13675,0.0092575,0.0092575,0.0092575
17,444.322,0.62087,0.90961,0.51799,1.08243,0.96077,0.91607,0.94853,0.8268,0.95409,0.91272,0.9424,0.79104,0.60319,1.01852,0.49871,1.12793,0.009208,0.009208,0.009208
18,468.389,0.60931,0.87748,0.5047,1.07522,0.96791,0.91895,0.9415,0.81616,0.96379,0.91521,0.93582,0.77988,0.60502,1.01612,0.49242,1.11031,0.0091585,0.0091585,0.0091585
19,494.043,0.58434,0.85158,0.49053,1.05568,0.96428,0.90871,0.9423,0.82609,0.96276,0.90269,0.93957,0.78877,0.59816,1.02282,0.5,1.12305,0.009109,0.009109,0.009109
20,519.933,0.57071,0.84486,0.48052,1.04553,0.96535,0.90321,0.94082,0.82944,0.96535,0.90321,0.94062,0.78494,0.59337,1.05558,0.50136,1.11412,0.0090595,0.0090595,0.0090595
21,545.935,0.5702,0.84313,0.48049,1.04955,0.9671,0.91632,0.94506,0.83287,0.96446,0.91352,0.9393,0.78862,0.57561,1.0314,0.46623,1.10196,0.00901,0.00901,0.00901
22,571.421,0.55233,0.81974,0.46342,1.0342,0.96755,0.92945,0.95005,0.83661,0.96494,0.92658,0.94367,0.80147,0.57933,0.95175,0.4721,1.09534,0.0089605,0.0089605,0.0089605
23,597.081,0.54957,0.82258,0.46247,1.0315,0.96109,0.93267,0.95341,0.85108,0.95981,0.93142,0.94965,0.80495,0.55097,0.95503,0.43845,1.076,0.008911,0.008911,0.008911
24,622.7,0.53948,0.81503,0.45056,1.02559,0.96601,0.93267,0.951,0.85337,0.96343,0.93017,0.94778,0.81266,0.55052,0.96263,0.46298,1.07436,0.0088615,0.0088615,0.0088615
25,647.249,0.53139,0.81115,0.44226,1.02008,0.98497,0.92269,0.95879,0.85999,0.97506,0.92624,0.95357,0.81638,0.53492,0.95488,0.42473,1.06414,0.008812,0.008812,0.008812
26,672.593,0.5257,0.78462,0.43558,1.0169,0.95858,0.92519,0.94593,0.84048,0.95858,0.92519,0.94342,0.80723,0.55721,0.93252,0.45022,1.07806,0.0087625,0.0087625,0.0087625
27,698.168,0.51322,0.78393,0.42907,1.00978,0.97371,0.9238,0.95342,0.86177,0.97109,0.9213,0.94856,0.82292,0.51858,0.95086,0.42382,1.04879,0.008713,0.008713,0.008713
28,723.666,0.50599,0.77227,0.42232,1.00263,0.97269,0.92269,0.95119,0.85684,0.97359,0.9193,0.94786,0.8165,0.50608,0.94234,0.43149,1.03524,0.0086635,0.0086635,0.0086635
29,749.676,0.50019,0.77406,0.41841,1.00308,0.95759,0.93267,0.95266,0.85139,0.96729,0.9217,0.94746,0.80658,0.53434,0.9324,0.43567,1.06075,0.008614,0.008614,0.008614
30,775.527,0.48891,0.76124,0.41234,0.99325,0.96885,0.92394,0.95265,0.86643,0.96885,0.92394,0.95008,0.82631,0.50268,0.92241,0.41997,1.03247,0.0085645,0.0085645,0.0085645
31,801.199,0.48426,0.75376,0.40671,0.99126,0.96551,0.92768,0.95199,0.86216,0.96985,0.92269,0.94805,0.82551,0.50827,0.89683,0.4239,1.04119,0.008515,0.008515,0.008515
32,826.74,0.4747,0.73554,0.39435,0.98815,0.97521,0.93516,0.95554,0.8706,0.97391,0.93392,0.95361,0.83309,0.49002,0.90922,0.39856,1.02703,0.0084655,0.0084655,0.0084655
33,852.259,0.46755,0.72757,0.39061,0.98091,0.97245,0.92438,0.95097,0.86011,0.96983,0.92188,0.94629,0.81493,0.50307,0.96136,0.41006,1.04536,0.008416,0.008416,0.008416
34,877.762,0.46742,0.73237,0.39071,0.97927,0.96889,0.93194,0.94834,0.85324,0.96759,0.93069,0.94056,0.81502,0.50424,0.8935,0.41611,1.0436,0.0083665,0.0083665,0.0083665
35,903.301,0.46357,0.7289,0.38475,0.97794,0.96395,0.9335,0.95327,0.87149,0.96395,0.9335,0.94788,0.82738,0.47744,0.90519,0.39428,1.01706,0.008317,0.008317,0.008317
36,928.761,0.45642,0.71554,0.38019,0.97413,0.98374,0.93766,0.95711,0.87577,0.97982,0.93392,0.95023,0.83227,0.48655,0.88027,0.38586,1.02028,0.0082675,0.0082675,0.0082675
37,954.399,0.45218,0.71895,0.37851,0.97061,0.97786,0.93631,0.96151,0.88688,0.97786,0.93631,0.95645,0.84534,0.46912,0.88203,0.38475,1.00619,0.008218,0.008218,0.008218
