epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.9331,0.44706,0.93632,1.46487,0.97612,0.98557,0.9389,0.94407,0.87487,0.98296,0.93641,0.94389,0.82025,0.40719,0.83972,1.90418,0.94944,0.00330247,0.00330247,0.00330247
2,94.3678,0.44729,0.70015,0.67419,0.95047,0.97714,0.90588,0.9416,0.80858,0.97469,0.899,0.9208,0.71699,0.51532,1.27772,0.77691,1.04782,0.00660296,0.00660296,0.00660296
3,136.702,0.529,0.76846,0.59734,0.98898,0.72662,0.55736,0.55347,0.31387,0.68701,0.59352,0.60676,0.31773,1.85055,2.52259,2.73046,3.40196,0.00987044,0.00987044,0.00987044
4,178.911,0.57953,0.83347,0.55233,1.01812,0.81733,0.78108,0.83414,0.60729,0.78471,0.7499,0.78166,0.53101,0.85825,1.8599,1.15289,1.39427,0.0098515,0.0098515,0.0098515
5,220.646,0.5331,0.79469,0.47658,0.9957,0.90909,0.79799,0.87959,0.68279,0.88717,0.76474,0.82152,0.46883,0.84148,2.43244,0.7802,1.39557,0.009802,0.009802,0.009802
6,264.724,0.51056,0.76792,0.44249,0.9827,0.85506,0.79302,0.85374,0.67813,0.84717,0.78791,0.85079,0.62861,0.78282,1.35482,0.92324,1.27645,0.0097525,0.0097525,0.0097525
7,306.611,0.48853,0.73247,0.415,0.97146,0.98048,0.92145,0.94223,0.84695,0.97915,0.9202,0.9399,0.79618,0.513,1.02644,0.4683,1.04777,0.009703,0.009703,0.009703
8,348.302,0.46355,0.71464,0.38665,0.96361,0.9672,0.91921,0.95041,0.84592,0.96243,0.90274,0.92737,0.7231,0.52093,1.30537,0.42743,1.07078,0.0096535,0.0096535,0.0096535
9,389.816,0.4543,0.70666,0.37788,0.96002,0.93449,0.80045,0.8955,0.77452,0.90932,0.81546,0.87883,0.68125,0.61896,1.4754,0.59146,1.17008,0.009604,0.009604,0.009604
10,431.826,0.43617,0.6957,0.36017,0.94958,0.97773,0.93516,0.9504,0.86295,0.97773,0.93516,0.94604,0.81295,0.45364,0.98219,0.375,1.00956,0.0095545,0.0095545,0.0095545
