epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6448,6.20004,8.48263,24.8207,4.22439,2e-05,0.0045,1e-05,1e-05,0,0,0,0,5.77044,5.23823,23.3953,4.15883,0.0002,0.0002,0.0002
2,19.1958,5.99773,6.22038,21.8369,4.12032,2e-05,0.0045,1e-05,1e-05,0,0,0,0,5.78898,5.21304,22.6942,4.14299,0.000417921,0.000417921,0.000417921
3,24.4605,5.46472,4.4016,10.7238,3.48359,2e-05,0.0045,1e-05,1e-05,0,0,0,0,5.8055,5.14107,21.2462,4.12679,0.000633664,0.000633664,0.000633664
4,29.9136,4.42972,4.35229,7.18211,2.6567,2e-05,0.0045,1e-05,1e-05,0,0,0,0,5.79767,5.00585,17.8393,4.12229,0.000847229,0.000847229,0.000847229
5,35.1582,4.09276,4.25971,5.89054,2.20496,7e-05,0.0045,3e-05,1e-05,0,0,0,0,5.80652,4.763,10.166,4.21591,0.00105862,0.00105862,0.00105862
6,40.3925,3.87745,4.04971,5.22176,1.99899,8e-05,0.0045,5e-05,1e-05,0,0,0,0,5.52341,4.20795,11.8127,4.61606,0.00126782,0.00126782,0.00126782
7,45.5256,3.59045,3.70605,4.32166,1.89191,7e-05,0.0045,4e-05,1e-05,0,0,0,0,5.91996,4.96127,9.31083,4.58053,0.00147486,0.00147486,0.00147486
8,50.7106,3.0708,3.34261,3.34803,1.67004,7e-05,0.0045,4e-05,1e-05,0,0,0,0,5.70309,4.90976,11.5719,4.54667,0.00167971,0.00167971,0.00167971
9,55.9441,2.84263,3.26796,2.89868,1.53927,8e-05,0.0045,4e-05,0,0,0,0,0,5.48172,4.12243,5.87853,2.98999,0.00188238,0.00188238,0.00188238
10,61.2192,2.74536,3.19779,2.69324,1.49204,0.33932,0.01392,0.04149,0.0144,0.33932,0.01392,0.04349,0.01319,3.29435,3.96423,4.5189,2.05974,0.0019109,0.0019109,0.0019109
11,66.6211,2.66929,3.08602,2.56538,1.4294,0.59945,0.01349,0.07259,0.02371,0.39969,0.01802,0.05957,0.01672,3.07256,3.94287,4.2586,1.91606,0.001901,0.001901,0.001901
12,71.8741,2.52955,3.12277,2.3845,1.41287,0.63745,0.09009,0.10551,0.0396,0.54064,0.0991,0.10933,0.04092,2.809,3.56405,3.86186,1.78826,0.0018911,0.0018911,0.0018911
13,77.126,2.45014,3.02532,2.23006,1.35689,0.55165,0.2973,0.33551,0.1345,0.59329,0.30631,0.3556,0.13011,2.42699,3.03764,2.53148,1.44739,0.0018812,0.0018812,0.0018812
14,82.3347,2.41195,2.92925,2.0863,1.33545,0.41438,0.16216,0.15686,0.05437,0.38744,0.16667,0.14583,0.04405,2.68069,3.23079,3.06564,1.59206,0.0018713,0.0018713,0.0018713
15,87.5866,2.35226,3.02323,2.00879,1.31169,0.53822,0.07207,0.11689,0.04226,0.50458,0.06757,0.10719,0.03327,2.658,3.27594,3.28888,1.67334,0.0018614,0.0018614,0.0018614
16,92.8456,2.3469,2.92962,1.88814,1.32214,0.52238,0.21171,0.2515,0.09791,0.55573,0.22523,0.27177,0.08608,2.41083,2.98555,2.62993,1.53512,0.0018515,0.0018515,0.0018515
17,98.1575,2.29205,2.92837,1.85113,1.301,0.57439,0.45045,0.47589,0.19035,0.56517,0.48198,0.48359,0.16558,2.17098,2.84072,1.74842,1.32785,0.0018416,0.0018416,0.0018416
18,103.536,2.24974,2.91245,1.757,1.27556,0.53175,0.43694,0.42156,0.17258,0.54616,0.46396,0.42321,0.14626,2.21519,2.89725,1.90225,1.3219,0.0018317,0.0018317,0.0018317
19,108.858,2.2253,2.85295,1.74618,1.24929,0.49611,0.43243,0.39928,0.15052,0.44192,0.41892,0.39018,0.12705,2.25505,2.8448,1.86374,1.33483,0.0018218,0.0018218,0.0018218
20,114.061,2.18775,2.80552,1.72387,1.2358,0.6472,0.50407,0.50264,0.22014,0.61464,0.48856,0.47121,0.18331,2.05364,2.76109,1.81296,1.27225,0.0018119,0.0018119,0.0018119
21,119.273,2.14624,2.7644,1.66923,1.21883,0.69976,0.53153,0.57588,0.25089,0.58938,0.55405,0.56725,0.21241,2.02821,2.77061,1.6189,1.24781,0.001802,0.001802,0.001802
22,124.559,2.12563,2.7655,1.63614,1.23824,0.52199,0.52252,0.50806,0.21454,0.52777,0.54505,0.52591,0.20702,2.12726,2.76425,1.65094,1.30696,0.0017921,0.0017921,0.0017921
23,129.86,2.11755,2.72488,1.59808,1.21779,0.65314,0.58108,0.59413,0.26574,0.67565,0.54955,0.58887,0.22724,1.9557,2.66611,1.48663,1.21109,0.0017822,0.0017822,0.0017822
24,135.156,2.11238,2.78601,1.6077,1.19896,0.60933,0.5045,0.50353,0.2237,0.58154,0.5,0.47958,0.19125,1.98971,2.71963,1.81682,1.23942,0.0017723,0.0017723,0.0017723
25,140.402,2.09496,2.73169,1.55975,1.20077,0.55419,0.57207,0.54045,0.24959,0.56358,0.58753,0.55627,0.22669,1.95749,2.66635,1.65175,1.23887,0.0017624,0.0017624,0.0017624
26,145.705,2.07561,2.67032,1.58525,1.18911,0.5452,0.4806,0.46438,0.18889,0.5452,0.4806,0.46885,0.17545,2.0415,2.82715,1.67357,1.26381,0.0017525,0.0017525,0.0017525
