epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9489,5.47707,9.27081,17.8696,4.27463,0,0,0,0,0,0,0,0,5.369,5.29284,9.62813,4.15759,9.163e-05,9.163e-05,9.163e-05
2,17.7996,5.54394,6.80292,15.6487,4.18649,0,0,0,0,0,0,0,0,5.36288,5.29132,9.5897,4.14724,0.000190642,0.000190642,0.000190642
3,23.7957,5.42177,5.42449,13.4141,4.03399,0,0,0,0,0,0,0,0,5.33044,5.28832,7.64688,4.11337,0.000288664,0.000288664,0.000288664
4,29.8231,4.59783,5.01352,11.4184,3.59058,0,0,0,0,0,0,0,0,5.26922,5.28966,6.95772,4.03347,0.000385696,0.000385696,0.000385696
5,35.7093,3.92871,4.08566,9.08298,3.11701,0,0,0,0,0,0,0,0,5.2409,5.28276,7.00988,4.01558,0.000481739,0.000481739,0.000481739
6,41.5322,3.58504,3.51291,8.05364,2.79577,0,0,0,0,0,0,0,0,5.40293,5.27989,7.51672,4.22819,0.000576792,0.000576792,0.000576792
7,47.3271,3.2795,3.17274,7.29001,2.53745,0,0,0,0,0,0,0,0,5.41491,5.34612,7.87982,4.23517,0.000670856,0.000670856,0.000670856
8,53.0931,3.0243,3.01401,6.08216,2.35671,0,0,0,0,0,0,0,0,4.80152,4.85523,7.34197,3.68581,0.00076393,0.00076393,0.00076393
9,58.5617,2.87676,2.93529,5.52974,2.16024,0.02273,0.01087,0.01434,0.00595,0.14773,0.01365,0.07823,0.03828,3.90066,4.21228,6.22306,3.28188,0.000800013,0.000800013,0.000800013
10,64.1045,2.74555,2.81994,4.83973,2.01518,0.01808,0.19414,0.04877,0.01865,0.02715,0.20977,0.05493,0.02822,2.81649,3.35068,4.77967,2.45611,0.00079589,0.00079589,0.00079589
11,69.7773,2.64228,2.71876,4.50087,1.91436,0.02213,0.22089,0.05153,0.02378,0.02752,0.23582,0.05922,0.02287,2.64506,3.29619,4.23453,2.34357,0.000791767,0.000791767,0.000791767
12,75.504,2.57667,2.64295,4.13546,1.89152,0.65236,0.04529,0.08446,0.03652,0.6481,0.06178,0.09757,0.04974,2.50587,2.97834,3.40357,2.12876,0.000787643,0.000787643,0.000787643
13,81.1738,2.51324,2.58834,3.81398,1.79111,0.66242,0.11261,0.12224,0.05121,0.64978,0.11639,0.13383,0.06158,2.36297,2.7779,2.93339,1.83915,0.00078352,0.00078352,0.00078352
14,86.7825,2.44166,2.46959,3.48977,1.73461,0.70406,0.14154,0.15276,0.06373,0.68845,0.13841,0.15586,0.0672,2.29576,2.70765,2.53679,1.77398,0.000779396,0.000779396,0.000779396
15,92.5585,2.42294,2.49278,3.34285,1.7262,0.59644,0.16972,0.14964,0.06039,0.58922,0.16904,0.16005,0.06444,2.32076,2.70038,2.61177,1.77696,0.000775273,0.000775273,0.000775273
16,98.3326,2.38265,2.41204,3.20306,1.66363,0.56542,0.1905,0.1725,0.07401,0.58595,0.20496,0.18361,0.07222,2.24141,2.62456,2.45329,1.70971,0.00077115,0.00077115,0.00077115
17,104.128,2.34067,2.34935,3.09147,1.67234,0.76093,0.1759,0.20086,0.08011,0.77612,0.18446,0.21493,0.09254,2.22743,2.54162,2.5883,1.72839,0.000767026,0.000767026,0.000767026
18,109.852,2.26631,2.32074,2.91926,1.60774,0.58977,0.19262,0.20916,0.08495,0.58582,0.18707,0.2011,0.08523,2.18977,2.56063,2.37042,1.71603,0.000762903,0.000762903,0.000762903
19,115.601,2.30249,2.33085,2.90136,1.64745,0.70423,0.17675,0.17371,0.07954,0.73095,0.19315,0.19496,0.08413,2.3084,2.5734,2.47913,1.76928,0.00075878,0.00075878,0.00075878
