epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7563,3.08578,6.62483,3.58465,4.19428,0.00263,0.68454,0.01246,0.00429,0,0,0,0,2.92817,5.18484,3.8651,4.14878,0.0032716,0.0032716,0.0032716
2,56.0853,2.72816,2.8869,2.76768,3.57962,0.00351,0.68454,0.03355,0.00905,0,0,0,0,3.24031,7.73147,3.54493,4.82393,0.00657224,0.00657224,0.00657224
3,80.7711,2.12269,2.38409,2.13293,2.81669,0.79238,0.49013,0.63467,0.28304,0.80901,0.50249,0.62638,0.28947,1.94322,2.38392,1.90938,2.70801,0.00983988,0.00983988,0.00983988
4,105.02,1.62772,2.04852,1.51787,2.20951,0.80273,0.68579,0.75606,0.44463,0.8131,0.62344,0.69529,0.352,1.4885,2.58835,1.53227,2.23934,0.0098515,0.0098515,0.0098515
5,129.193,1.32571,1.8059,1.18052,1.85847,0.82001,0.75062,0.80848,0.48449,0.82387,0.74658,0.79887,0.48494,1.3825,1.84337,1.53277,2.05285,0.009802,0.009802,0.009802
6,153.113,1.17958,1.61818,1.02348,1.6932,0.73566,0.53786,0.6206,0.35262,0.71484,0.50948,0.57118,0.27821,1.63992,2.97375,1.93187,2.38955,0.0097525,0.0097525,0.0097525
7,178.069,1.08888,1.48624,0.92865,1.57956,0.92935,0.83646,0.90311,0.67481,0.92276,0.83167,0.89033,0.63432,1.01241,1.52111,0.76977,1.64737,0.009703,0.009703,0.009703
8,201.817,0.99787,1.37975,0.8413,1.48316,0.91041,0.87781,0.91052,0.7135,0.91311,0.86485,0.90006,0.66464,0.86584,1.38766,0.85679,1.4848,0.0096535,0.0096535,0.0096535
9,225.826,0.94824,1.32581,0.78892,1.42489,0.93678,0.83144,0.90577,0.69161,0.94284,0.81671,0.88503,0.61338,0.90256,1.5931,1.10513,1.51422,0.009604,0.009604,0.009604
10,249.314,0.89781,1.25474,0.7451,1.36986,0.93214,0.9015,0.93182,0.76906,0.92944,0.899,0.9269,0.73573,0.74338,1.19251,0.59674,1.34227,0.0095545,0.0095545,0.0095545
11,273.267,0.86527,1.19656,0.71448,1.32916,0.91997,0.83167,0.90972,0.70718,0.93362,0.81546,0.90264,0.68391,0.88636,1.29726,0.72816,1.46707,0.009505,0.009505,0.009505
12,297.351,0.8278,1.13888,0.68292,1.29268,0.90978,0.88019,0.91236,0.74885,0.89957,0.88236,0.90122,0.68448,0.74329,1.26813,0.65526,1.34815,0.0094555,0.0094555,0.0094555
13,321.48,0.80397,1.10408,0.66646,1.27051,0.92395,0.87861,0.91757,0.75801,0.92024,0.87757,0.91034,0.72297,0.73812,1.15186,0.63,1.33622,0.009406,0.009406,0.009406
14,345.763,0.77768,1.0673,0.64671,1.24808,0.92645,0.9015,0.92533,0.76379,0.92389,0.899,0.91885,0.73877,0.73025,1.1577,0.58765,1.31483,0.0093565,0.0093565,0.0093565
15,369.732,0.75055,1.03691,0.61544,1.22561,0.94878,0.90399,0.93321,0.7909,0.94151,0.90315,0.92803,0.75257,0.67284,1.10871,0.574,1.2483,0.009307,0.009307,0.009307
16,394.25,0.72875,1.01982,0.60578,1.20264,0.9523,0.92114,0.93286,0.79341,0.94561,0.91053,0.92681,0.74502,0.65087,1.08692,0.54358,1.21515,0.0092575,0.0092575,0.0092575
17,418.572,0.71135,0.98599,0.58209,1.1838,0.95422,0.899,0.93479,0.79008,0.95135,0.89651,0.93078,0.75436,0.66302,1.09784,0.55792,1.23614,0.009208,0.009208,0.009208
18,442.252,0.6962,0.97406,0.57322,1.16608,0.95168,0.90855,0.93095,0.79269,0.94906,0.90605,0.92354,0.75239,0.65693,1.0877,0.58478,1.22719,0.0091585,0.0091585,0.0091585
19,466.524,0.68312,0.9573,0.5655,1.1565,0.94735,0.92394,0.93526,0.80004,0.94224,0.91895,0.93123,0.75989,0.6311,1.10469,0.51701,1.19678,0.009109,0.009109,0.009109
20,490.323,0.66571,0.92721,0.5485,1.13793,0.97612,0.9202,0.94757,0.82099,0.96991,0.91521,0.93993,0.78785,0.6086,1.00006,0.48923,1.15492,0.0090595,0.0090595,0.0090595
21,514.516,0.65207,0.9252,0.54702,1.13059,0.94898,0.91895,0.94658,0.82786,0.9425,0.91521,0.93878,0.789,0.596,1.01625,0.48838,1.16093,0.00901,0.00901,0.00901
22,538.868,0.63922,0.9014,0.52367,1.12015,0.96228,0.91147,0.94397,0.82708,0.96131,0.91147,0.93971,0.78769,0.5933,0.98545,0.49466,1.1481,0.0089605,0.0089605,0.0089605
23,562.661,0.62595,0.88695,0.51867,1.11038,0.94393,0.9202,0.93855,0.82332,0.94009,0.91646,0.93405,0.78241,0.58804,1.00361,0.4973,1.13896,0.008911,0.008911,0.008911
24,586.237,0.61649,0.87612,0.51037,1.09939,0.97231,0.91941,0.94379,0.83541,0.95764,0.93027,0.9417,0.79841,0.57213,0.96683,0.46651,1.122,0.0088615,0.0088615,0.0088615
25,609.842,0.59779,0.85223,0.49612,1.08602,0.97134,0.92985,0.95072,0.839,0.96723,0.92011,0.94331,0.79639,0.5713,0.97969,0.4667,1.12122,0.008812,0.008812,0.008812
26,634.346,0.59001,0.84933,0.49122,1.0805,0.95747,0.92644,0.94826,0.8377,0.9537,0.92519,0.94064,0.79709,0.57596,0.95696,0.48417,1.11594,0.0087625,0.0087625,0.0087625
27,658.542,0.58516,0.84367,0.48557,1.07666,0.96645,0.92145,0.94669,0.8384,0.96514,0.9202,0.94278,0.80226,0.56991,0.94604,0.47271,1.11464,0.008713,0.008713,0.008713
28,682.676,0.57926,0.84107,0.47854,1.07515,0.9479,0.93142,0.94291,0.83572,0.94663,0.93017,0.93625,0.79722,0.55161,0.94644,0.48986,1.10342,0.0086635,0.0086635,0.0086635
29,706.573,0.56833,0.82197,0.47146,1.06231,0.96808,0.92768,0.9529,0.85023,0.96758,0.92643,0.9503,0.80017,0.54921,0.96859,0.45653,1.10724,0.008614,0.008614,0.008614
30,730.444,0.56054,0.82451,0.46661,1.05416,0.96968,0.91715,0.94135,0.84071,0.96704,0.91465,0.93839,0.79457,0.5477,0.97257,0.47141,1.09732,0.0085645,0.0085645,0.0085645
31,754.611,0.55152,0.81025,0.45543,1.05306,0.96366,0.92587,0.94822,0.84864,0.96107,0.92338,0.94281,0.80631,0.54813,0.96997,0.4465,1.08591,0.008515,0.008515,0.008515
32,778.091,0.54512,0.79609,0.44953,1.04205,0.97035,0.93851,0.94793,0.85202,0.96906,0.93726,0.94619,0.80953,0.52961,0.92784,0.43603,1.08508,0.0084655,0.0084655,0.0084655
33,801.544,0.53423,0.78583,0.43666,1.03818,0.98091,0.91646,0.9494,0.85143,0.98091,0.91646,0.94854,0.81023,0.52468,0.92036,0.44561,1.08264,0.008416,0.008416,0.008416
34,825.383,0.53366,0.78981,0.44234,1.03539,0.97772,0.93017,0.95016,0.85741,0.97772,0.93017,0.9411,0.81421,0.50808,0.89747,0.42876,1.05671,0.0083665,0.0083665,0.0083665
35,849.843,0.52505,0.77883,0.43578,1.03403,0.96892,0.93281,0.9488,0.85828,0.96892,0.93281,0.948,0.82189,0.5049,0.89049,0.43337,1.05921,0.008317,0.008317,0.008317
36,874.363,0.51841,0.77507,0.43028,1.03137,0.95639,0.92967,0.94757,0.8459,0.95382,0.92717,0.94171,0.80739,0.52469,0.92006,0.44685,1.08318,0.0082675,0.0082675,0.0082675
37,898.436,0.51354,0.76433,0.42301,1.02192,0.97022,0.92643,0.95343,0.86656,0.97153,0.92768,0.94836,0.82853,0.5059,0.90347,0.4256,1.06001,0.008218,0.008218,0.008218
