epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2229,6.30917,6.63351,22.8872,4.17711,0,0,0,0,0,0,0,0,6.39427,5.21294,11.0078,4.15291,0.00015453,0.00015453,0.00015453
2,28.4276,6.04278,5.33876,17.1655,3.91383,0,0,0,0,0,0,0,0,6.37106,5.19887,9.95132,4.08586,0.000316575,0.000316575,0.000316575
3,41.9844,4.60209,5.12641,10.0132,2.98727,0,0,0,0,0,0,0,0,6.33871,5.17864,7.60012,4.01962,0.000477,0.000477,0.000477
4,55.0472,3.73272,4.61433,7.23615,2.20468,0,0,0,0,0,0,0,0,6.42339,5.19481,8.80232,4.25719,0.000635806,0.000635806,0.000635806
5,69.7172,3.23135,4.12609,5.52351,1.8631,0,0,0,0,0,0,0,0,6.51189,5.132,10.5607,4.53779,0.000792992,0.000792992,0.000792992
6,85.2622,2.9342,3.79904,4.67045,1.68772,0.00587,0.10815,0.00975,0.00341,0.00696,0.10726,0.01102,0.00305,3.59746,4.50363,5.07439,2.31218,0.000886502,0.000886502,0.000886502
7,99.2409,2.72722,3.55943,4.07031,1.58116,0.00952,0.18183,0.02711,0.00785,0.00971,0.18301,0.02605,0.00668,3.01623,4.06021,4.63371,1.88711,0.000882003,0.000882003,0.000882003
8,112.567,2.61972,3.41581,3.72872,1.50795,0.24095,0.03658,0.06992,0.02528,0.29621,0.05045,0.07359,0.02089,2.62384,3.7949,3.42905,1.62993,0.000877503,0.000877503,0.000877503
9,125.02,2.49318,3.35155,3.42985,1.44783,0.33191,0.08435,0.09657,0.0339,0.32583,0.085,0.09399,0.03337,2.49165,3.2545,3.16883,1.56906,0.000873004,0.000873004,0.000873004
10,137.534,2.41169,3.18859,3.18329,1.40684,0.22753,0.13598,0.12147,0.04148,0.22313,0.13317,0.12041,0.04068,2.3818,3.201,3.0499,1.51913,0.000868504,0.000868504,0.000868504
11,149.217,2.36424,3.09574,3.08124,1.39438,0.2014,0.16774,0.13977,0.05729,0.20868,0.17351,0.1355,0.05102,2.26863,2.96048,2.7945,1.44058,0.000864004,0.000864004,0.000864004
12,159.261,2.27581,3.00784,2.88313,1.35738,0.22654,0.26835,0.17855,0.07744,0.22349,0.27032,0.18188,0.07432,2.25206,2.92661,2.3802,1.42328,0.000859505,0.000859505,0.000859505
13,168.355,2.30057,2.98128,2.85632,1.35007,0.22456,0.27875,0.17151,0.07654,0.23014,0.28797,0.17523,0.07186,2.13345,2.81582,2.34383,1.37709,0.000855005,0.000855005,0.000855005
14,177.318,2.23128,2.9134,2.71723,1.32727,0.22066,0.29744,0.19261,0.08329,0.20972,0.28817,0.18734,0.07692,2.17296,2.81311,2.31667,1.37998,0.000850506,0.000850506,0.000850506
15,186.303,2.20394,2.88222,2.64148,1.30287,0.25194,0.33315,0.20332,0.08837,0.26027,0.33378,0.20924,0.08743,2.1464,2.80799,2.20824,1.36514,0.000846006,0.000846006,0.000846006
16,198.932,2.16591,2.87434,2.54415,1.29442,0.24793,0.35395,0.23099,0.10112,0.24663,0.36083,0.23149,0.09855,2.06405,2.7459,2.13504,1.31804,0.000841507,0.000841507,0.000841507
17,211.929,2.10876,2.7511,2.4746,1.27567,0.26482,0.39015,0.23977,0.1133,0.25768,0.38916,0.23051,0.10564,2.01907,2.6317,2.13385,1.30598,0.000837007,0.000837007,0.000837007
18,225.049,2.12824,2.76256,2.43974,1.26587,0.27486,0.36806,0.22839,0.09729,0.26089,0.36724,0.22261,0.09384,2.09193,2.64519,2.15624,1.32737,0.000832508,0.000832508,0.000832508
19,238.422,2.11069,2.7196,2.39759,1.26747,0.28419,0.40139,0.24138,0.10936,0.26046,0.39872,0.23297,0.09734,1.98997,2.64037,2.1252,1.28566,0.000828008,0.000828008,0.000828008
20,251.827,2.05926,2.66927,2.33531,1.25042,0.30786,0.38376,0.2593,0.12336,0.29819,0.37276,0.24806,0.10997,1.94263,2.55013,2.05709,1.26494,0.000823509,0.000823509,0.000823509
21,266.157,2.0327,2.63881,2.27035,1.24121,0.2979,0.36564,0.23174,0.10255,0.28625,0.354,0.22941,0.09531,2.06339,2.61995,2.10564,1.3111,0.000819009,0.000819009,0.000819009
22,279.566,2.00964,2.58051,2.23663,1.22449,0.30079,0.36021,0.23575,0.09913,0.30188,0.36123,0.2369,0.09057,2.15399,2.62429,2.12624,1.32648,0.000814509,0.000814509,0.000814509
23,292.545,1.99302,2.55241,2.22395,1.22302,0.27011,0.47121,0.25632,0.12635,0.26995,0.46426,0.25485,0.1177,1.92527,2.53868,2.03935,1.26277,0.00081001,0.00081001,0.00081001
24,304.601,2.00441,2.57121,2.17977,1.22272,0.29639,0.45414,0.27279,0.13345,0.31041,0.43756,0.28207,0.12653,1.90504,2.52991,1.98774,1.24135,0.00080551,0.00080551,0.00080551
25,317.535,1.98469,2.51676,2.15935,1.21576,0.30663,0.41785,0.28264,0.13783,0.28076,0.43383,0.27436,0.12627,1.91162,2.51556,2.03749,1.23953,0.000801011,0.000801011,0.000801011
26,330.801,1.97166,2.49691,2.15106,1.20729,0.22677,0.34625,0.23613,0.11139,0.22757,0.35459,0.23112,0.09854,2.01626,2.66683,2.18055,1.28824,0.000796511,0.000796511,0.000796511
27,344.837,1.97204,2.49366,2.14343,1.22123,0.31295,0.40885,0.27871,0.14262,0.32409,0.41173,0.27876,0.13108,1.84832,2.44257,1.95299,1.21814,0.000792012,0.000792012,0.000792012
28,358.821,1.91683,2.4291,2.08691,1.18719,0.31292,0.44341,0.28591,0.14567,0.32058,0.43645,0.28607,0.13097,1.86341,2.44056,1.93692,1.2219,0.000787512,0.000787512,0.000787512
29,371.848,1.9156,2.44725,2.07671,1.20212,0.31244,0.41089,0.28597,0.14826,0.31526,0.40722,0.28511,0.13001,1.86359,2.47789,2.0063,1.22086,0.000783013,0.000783013,0.000783013
30,384.747,1.90938,2.46232,2.02938,1.17712,0.30181,0.47476,0.30699,0.15239,0.30078,0.47302,0.30545,0.14094,1.85578,2.39297,1.91149,1.20773,0.000778513,0.000778513,0.000778513
31,397.951,1.89259,2.42786,2.01522,1.18519,0.32379,0.42928,0.29769,0.15594,0.35273,0.41899,0.29485,0.14926,1.80343,2.3647,1.94902,1.20477,0.000774013,0.000774013,0.000774013
32,411.963,1.88597,2.40615,2.01083,1.18062,0.28078,0.50236,0.28654,0.14962,0.27972,0.49946,0.2848,0.14132,1.80485,2.36119,1.95457,1.19962,0.000769514,0.000769514,0.000769514
33,424.963,1.8639,2.38169,1.96058,1.17001,0.28901,0.45727,0.30802,0.15465,0.28584,0.45284,0.30425,0.13842,1.86861,2.37961,1.93249,1.21318,0.000765014,0.000765014,0.000765014
34,438.122,1.85912,2.36458,1.94884,1.14515,0.24865,0.46293,0.27497,0.13726,0.25189,0.46068,0.27662,0.12467,1.86873,2.34075,1.96137,1.21653,0.000760515,0.000760515,0.000760515
35,450.142,1.84106,2.30475,1.96204,1.16196,0.31814,0.47656,0.31408,0.16573,0.29246,0.46609,0.30305,0.14765,1.80329,2.30466,1.86428,1.19486,0.000756015,0.000756015,0.000756015
36,463.019,1.82887,2.29902,1.90965,1.14901,0.29772,0.48867,0.31479,0.16415,0.31302,0.45757,0.31069,0.14831,1.81083,2.31314,1.85643,1.18861,0.000751516,0.000751516,0.000751516
37,475.655,1.81406,2.30347,1.90043,1.14313,0.34594,0.49355,0.33133,0.1747,0.33369,0.48146,0.32414,0.15331,1.77043,2.29891,1.85176,1.18819,0.000747016,0.000747016,0.000747016
38,484.863,1.82894,2.32465,1.90007,1.14781,0.32301,0.4929,0.31759,0.15931,0.31745,0.49519,0.31607,0.1526,1.7578,2.26618,1.84894,1.17866,0.000742517,0.000742517,0.000742517
39,494.318,1.79819,2.29084,1.8765,1.14232,0.33197,0.50044,0.32064,0.17128,0.33145,0.49999,0.32091,0.16234,1.74261,2.25912,1.81987,1.17544,0.000738017,0.000738017,0.000738017
40,503.218,1.78642,2.25801,1.83448,1.14071,0.29564,0.49163,0.31564,0.16281,0.29009,0.47354,0.31173,0.14165,1.78032,2.30065,1.87149,1.18067,0.000733518,0.000733518,0.000733518
41,513.275,1.78587,2.22826,1.83432,1.14315,0.32192,0.50364,0.31187,0.1607,0.31767,0.49334,0.30912,0.15554,1.78474,2.2048,1.80722,1.18741,0.000729018,0.000729018,0.000729018
42,526.737,1.7898,2.26473,1.84168,1.13539,0.35301,0.49414,0.33993,0.17444,0.35354,0.48155,0.34517,0.16372,1.7875,2.23442,1.87774,1.18432,0.000724518,0.000724518,0.000724518
43,539.819,1.769,2.24206,1.7954,1.13265,0.32117,0.52672,0.33123,0.17413,0.31812,0.51433,0.32919,0.15868,1.72862,2.21494,1.79971,1.15924,0.000720019,0.000720019,0.000720019
44,552.587,1.74959,2.20651,1.81125,1.13075,0.36772,0.50782,0.34137,0.18357,0.36524,0.50326,0.33574,0.17129,1.69635,2.16947,1.76486,1.15226,0.000715519,0.000715519,0.000715519
