epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2727,3.8948,5.5542,4.36341,3.97871,0.0001,0.00955,6e-05,1e-05,0,0,0,0,4.32877,5.23226,4.99474,4.27745,0.00330218,0.00330218,0.00330218
2,87.6593,2.60478,3.50263,2.89773,2.94825,0.17548,0.19045,0.07898,0.03106,0.15856,0.18392,0.06832,0.02227,2.30073,3.57858,3.52464,2.96105,0.00660267,0.00660267,0.00660267
3,127.977,2.04722,2.92566,2.34135,2.38281,0.22383,0.48992,0.29854,0.12276,0.22459,0.47484,0.2933,0.11678,2.09151,3.16372,4.50114,2.79647,0.00987016,0.00987016,0.00987016
4,168.474,1.68085,2.43264,1.88497,1.99092,0.41059,0.54637,0.41897,0.20875,0.40267,0.53739,0.41266,0.18479,1.74299,2.43058,1.97978,2.39391,0.0098515,0.0098515,0.0098515
5,208.334,1.52076,2.08325,1.61879,1.81619,0.42009,0.61794,0.49349,0.26585,0.41654,0.60939,0.48385,0.24332,1.60872,2.19704,1.73107,2.19656,0.009802,0.009802,0.009802
6,248.557,1.40567,1.8595,1.44849,1.70634,0.45616,0.67345,0.47443,0.26542,0.45571,0.66473,0.4716,0.25713,1.51928,1.92407,1.62299,2.09949,0.0097525,0.0097525,0.0097525
7,288.215,1.34229,1.74085,1.35433,1.63895,0.5243,0.74999,0.55192,0.32349,0.52633,0.74419,0.54834,0.31004,1.40421,1.7178,1.42341,1.99263,0.009703,0.009703,0.009703
8,328.56,1.28077,1.62742,1.27296,1.58908,0.52524,0.77163,0.53768,0.32804,0.52964,0.77289,0.54419,0.32127,1.40495,1.63765,1.32343,2.01134,0.0096535,0.0096535,0.0096535
9,368.161,1.22777,1.5639,1.20996,1.54737,0.53858,0.75393,0.57376,0.33874,0.53957,0.74222,0.56906,0.31915,1.42141,1.69928,1.29176,2.01728,0.009604,0.009604,0.009604
10,408.212,1.20528,1.52336,1.18032,1.52473,0.5146,0.80991,0.55703,0.34779,0.51776,0.80966,0.56315,0.33196,1.33045,1.56963,1.26893,1.90972,0.0095545,0.0095545,0.0095545
11,448.072,1.17195,1.47078,1.14365,1.48777,0.50667,0.80734,0.52342,0.33019,0.50788,0.80572,0.52978,0.32085,1.29402,1.53447,1.26406,1.88296,0.009505,0.009505,0.009505
12,487.891,1.14971,1.4327,1.12207,1.46851,0.50624,0.80303,0.55341,0.34928,0.51018,0.80403,0.55931,0.3368,1.31776,1.49414,1.21855,1.89168,0.0094555,0.0094555,0.0094555
13,527.747,1.12488,1.401,1.09766,1.4486,0.50881,0.79004,0.56982,0.36705,0.50982,0.78914,0.57246,0.34916,1.27334,1.52295,1.21477,1.8267,0.009406,0.009406,0.009406
14,567.63,1.10691,1.38188,1.08012,1.4311,0.49467,0.81426,0.57678,0.37675,0.49608,0.81305,0.5825,0.36053,1.25786,1.44154,1.17986,1.79708,0.0093565,0.0093565,0.0093565
15,607.331,1.08817,1.35153,1.06241,1.41666,0.53472,0.80912,0.55118,0.36052,0.53533,0.8061,0.55409,0.34473,1.25795,1.451,1.19089,1.81261,0.009307,0.009307,0.009307
