epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5755,6.15654,7.65435,26.3633,4.23179,2e-05,0.0045,1e-05,1e-05,0,0,0,0,5.7736,5.23718,23.4147,4.163,0.0002,0.0002,0.0002
2,20.4555,6.15907,5.87366,23.4301,4.1248,2e-05,0.0045,1e-05,1e-05,0,0,0,0,5.79217,5.1966,22.6571,4.13482,0.000417921,0.000417921,0.000417921
3,26.0725,5.71799,4.40123,12.3094,3.63376,2e-05,0.0045,1e-05,1e-05,0,0,0,0,5.83226,5.073,20.0797,4.08457,0.000633664,0.000633664,0.000633664
4,31.6402,4.52304,4.31971,7.49687,3.05813,2e-05,0.0045,1e-05,1e-05,0,0,0,0,5.79068,4.83379,10.8214,4.08789,0.000847229,0.000847229,0.000847229
5,37.1434,4.05544,4.26673,6.1107,2.50979,6e-05,0.0045,3e-05,1e-05,0,0,0,0,5.42383,4.59672,11.6263,4.32484,0.00105862,0.00105862,0.00105862
6,42.7673,3.92968,4.09853,5.17572,2.13384,3e-05,0.0045,2e-05,1e-05,0,0,0,0,4.53572,4.52967,17.7555,4.92446,0.00126782,0.00126782,0.00126782
7,48.3653,3.64659,3.77381,4.28079,2.02027,3e-05,0.0045,2e-05,1e-05,0,0,0,0,4.84094,4.70842,17.8304,4.68596,0.00147486,0.00147486,0.00147486
8,53.9536,3.17436,3.40693,3.2549,1.74091,3e-05,0.0045,2e-05,1e-05,0,0,0,0,5.35994,4.53419,12.5619,4.59404,0.00167971,0.00167971,0.00167971
9,59.5301,2.87643,3.20436,2.81185,1.56289,0.00053,0.06757,0.00096,0.00022,0.00056,0.07207,0.00098,0.0002,4.73476,3.90437,6.08811,2.78403,0.00188238,0.00188238,0.00188238
10,65.1786,2.7486,3.15995,2.55283,1.52077,0.4073,0.12162,0.13162,0.04584,0.35615,0.10811,0.11261,0.03591,3.09238,3.57635,3.71593,1.89602,0.0019109,0.0019109,0.0019109
11,70.7451,2.57181,3.04847,2.28499,1.43908,0.30498,0.28378,0.21359,0.06292,0.43439,0.27928,0.25794,0.0881,2.84645,3.19831,2.71696,1.68633,0.001901,0.001901,0.001901
12,76.3842,2.53169,3.04792,2.18149,1.41286,0.42401,0.39791,0.33292,0.12269,0.43383,0.37838,0.34041,0.1108,2.5647,3.11574,2.23484,1.50302,0.0018911,0.0018911,0.0018911
13,82.1332,2.41092,3.26006,2.03757,1.37548,0.46617,0.37838,0.33209,0.10842,0.51687,0.4009,0.38748,0.12753,2.76008,2.98475,2.21569,1.57826,0.0018812,0.0018812,0.0018812
14,87.7399,2.35635,3.11197,1.88569,1.34739,0.59078,0.46822,0.47198,0.16502,0.50194,0.49099,0.46363,0.14405,2.46618,3.01693,1.72266,1.42844,0.0018713,0.0018713,0.0018713
15,93.3442,2.24788,2.84155,1.74253,1.28237,0.64839,0.45946,0.50643,0.21628,0.62868,0.44997,0.47458,0.16472,2.16771,2.89519,1.67185,1.35675,0.0018614,0.0018614,0.0018614
16,99.1124,2.23366,2.79044,1.65156,1.26283,0.65154,0.47297,0.51471,0.21077,0.57998,0.46847,0.46159,0.15891,2.06436,2.87566,1.89292,1.30278,0.0018515,0.0018515,0.0018515
17,104.737,2.19924,2.78959,1.64361,1.27164,0.66167,0.55405,0.61739,0.25266,0.65298,0.54248,0.58712,0.21595,1.99729,2.71642,1.55799,1.23881,0.0018416,0.0018416,0.0018416
18,110.39,2.14854,2.74392,1.56203,1.25199,0.66924,0.60154,0.62938,0.25715,0.62085,0.53153,0.55112,0.19332,2.07754,2.60767,1.49494,1.25489,0.0018317,0.0018317,0.0018317
19,115.968,2.14297,2.81055,1.58845,1.23938,0.65523,0.51351,0.55611,0.23821,0.67569,0.51802,0.59097,0.23364,2.11721,2.74409,1.53253,1.27533,0.0018218,0.0018218,0.0018218
20,121.615,2.08231,2.67392,1.46911,1.20376,0.70064,0.59039,0.65248,0.29318,0.66976,0.56757,0.61819,0.25045,1.91139,2.63234,1.40699,1.20384,0.0018119,0.0018119,0.0018119
21,127.296,2.06731,2.65009,1.43247,1.20634,0.69564,0.63063,0.65243,0.29444,0.65685,0.56306,0.58913,0.21884,1.94633,2.65915,1.43224,1.22691,0.001802,0.001802,0.001802
22,132.945,2.00095,2.6678,1.42735,1.20353,0.68637,0.58559,0.62838,0.28654,0.63885,0.54505,0.60372,0.229,1.95841,2.6472,1.50431,1.23657,0.0017921,0.0017921,0.0017921
23,138.563,1.99847,2.64211,1.40274,1.17981,0.71835,0.59741,0.66456,0.30077,0.70955,0.59009,0.66378,0.264,1.96629,2.63385,1.42213,1.24427,0.0017822,0.0017822,0.0017822
24,144.272,2.00899,2.65822,1.4403,1.1911,0.68367,0.63279,0.66984,0.28628,0.65754,0.6036,0.64253,0.24686,1.95061,2.6128,1.62344,1.22945,0.0017723,0.0017723,0.0017723
25,149.929,1.96357,2.63649,1.38173,1.16929,0.77574,0.62613,0.69668,0.32305,0.80034,0.59587,0.69002,0.2769,1.90767,2.60768,1.22832,1.20844,0.0017624,0.0017624,0.0017624
26,155.554,1.94248,2.58381,1.3555,1.16855,0.72843,0.68468,0.68476,0.3149,0.62214,0.59009,0.58772,0.21861,1.81342,2.59371,1.40533,1.1795,0.0017525,0.0017525,0.0017525
