epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5813,5.46012,14.5716,19.4618,4.30533,0,0,0,0,0,0,0,0,5.36798,5.29409,9.63542,4.16265,9.163e-05,9.163e-05,9.163e-05
2,19.01,5.55081,8.91876,16.6029,4.22832,0,0,0,0,0,0,0,0,5.36645,5.29319,9.6264,4.1637,0.000190642,0.000190642,0.000190642
3,25.3215,5.47465,5.67824,15.1017,4.11921,0,0,0,0,0,0,0,0,5.36871,5.29183,7.45134,4.15846,0.000288664,0.000288664,0.000288664
4,31.6127,5.01661,5.16903,13.699,3.97341,0,0,0,0,0,0,0,0,5.35652,5.29096,7.16747,4.14305,0.000385696,0.000385696,0.000385696
5,37.9223,4.15835,4.68132,10.6553,3.56999,0,0,0,0,0,0,0,0,5.3569,5.28931,7.23718,4.1447,0.000481739,0.000481739,0.000481739
6,44.3246,3.63347,3.86751,8.60779,2.9911,0,0,0,0,0,0,0,0,5.36843,5.23457,7.54645,4.18012,0.000576792,0.000576792,0.000576792
7,50.679,3.35619,3.36945,7.18828,2.58667,0,0,0,0,0,0,0,0,5.44457,5.14654,8.3456,4.40323,0.000670856,0.000670856,0.000670856
8,56.8923,3.01018,3.06997,5.88165,2.34099,0.00173,0.01365,0.00148,0.00044,0.0012,0.00821,0.00102,0.00032,3.69582,4.30465,6.67029,3.20445,0.00076393,0.00076393,0.00076393
9,63.0689,2.83542,2.93038,5.04559,2.14121,0.00911,0.10737,0.02284,0.00656,0.00949,0.11014,0.02326,0.00671,3.24802,3.78683,5.83891,2.78927,0.000800013,0.000800013,0.000800013
10,69.3304,2.6883,2.78589,4.50516,1.97612,0.57464,0.08249,0.06329,0.02267,0.59166,0.09849,0.07814,0.03184,2.72647,3.09796,4.37982,2.12817,0.00079589,0.00079589,0.00079589
11,75.6134,2.61138,2.7126,4.19969,1.87336,0.64834,0.04611,0.09026,0.03238,0.64834,0.04611,0.10228,0.05136,2.78962,3.01477,4.24208,2.08293,0.000791767,0.000791767,0.000791767
12,81.8301,2.46663,2.56787,3.66092,1.7845,0.02557,0.23041,0.0595,0.01914,0.0293,0.26548,0.07963,0.03014,2.84208,3.22551,4.3474,2.16246,0.000787643,0.000787643,0.000787643
13,88.104,2.39584,2.54839,3.44428,1.71144,0.71593,0.18601,0.17395,0.07657,0.70552,0.19206,0.18335,0.08916,2.27663,2.65691,2.61562,1.77437,0.00078352,0.00078352,0.00078352
14,94.3331,2.35077,2.45255,3.23028,1.67823,0.73313,0.22065,0.20521,0.08821,0.73852,0.23361,0.22507,0.10911,2.24438,2.56928,2.3426,1.79758,0.000779396,0.000779396,0.000779396
15,100.417,2.2648,2.38202,3.0776,1.65246,0.75179,0.21857,0.20711,0.0832,0.75423,0.22852,0.22295,0.0888,2.22908,2.56213,2.4877,1.75904,0.000775273,0.000775273,0.000775273
16,106.664,2.20213,2.33646,2.90741,1.60497,0.7174,0.21696,0.2345,0.09866,0.75262,0.24444,0.25342,0.11977,2.10548,2.42633,2.26648,1.64951,0.00077115,0.00077115,0.00077115
17,112.931,2.1755,2.29092,2.84416,1.57788,0.60614,0.22982,0.25878,0.11097,0.64065,0.25341,0.2933,0.14465,2.09474,2.33847,2.10016,1.59313,0.000767026,0.000767026,0.000767026
18,119.134,2.10571,2.33134,2.66315,1.56061,0.59702,0.24054,0.2238,0.1011,0.64603,0.25333,0.2724,0.11955,2.12583,2.34801,2.27608,1.64422,0.000762903,0.000762903,0.000762903
19,125.401,2.10561,2.30903,2.61732,1.56777,0.50291,0.26393,0.25811,0.1098,0.50882,0.26915,0.27741,0.12654,2.08787,2.40716,2.14369,1.61585,0.00075878,0.00075878,0.00075878
20,131.656,2.04739,2.20229,2.48932,1.52576,0.62811,0.25354,0.27453,0.11967,0.60897,0.24094,0.25372,0.11222,1.97552,2.43007,2.11459,1.59043,0.000754656,0.000754656,0.000754656
21,137.835,2.07057,2.20889,2.39791,1.53715,0.81034,0.26138,0.31126,0.14361,0.79502,0.26152,0.29721,0.13415,2.00866,2.41159,2.0801,1.58414,0.000750533,0.000750533,0.000750533
22,143.927,1.99189,2.16034,2.41581,1.47254,0.74222,0.25728,0.2353,0.10353,0.74587,0.25821,0.23407,0.09355,2.04667,2.4803,2.38431,1.56443,0.00074641,0.00074641,0.00074641
23,150.224,1.96744,2.21397,2.35616,1.44824,0.45815,0.33548,0.3447,0.16549,0.46798,0.32195,0.34319,0.18886,1.91976,2.29502,1.97516,1.50677,0.000742286,0.000742286,0.000742286
24,156.474,1.97902,2.22064,2.34673,1.47774,0.68225,0.27585,0.3092,0.1489,0.70941,0.27664,0.31111,0.14445,1.87775,2.23415,1.86793,1.47314,0.000738163,0.000738163,0.000738163
25,162.82,1.89535,2.07267,2.2036,1.42126,0.80342,0.27819,0.31202,0.14331,0.79407,0.2497,0.29971,0.14404,1.92447,2.17309,1.93779,1.49711,0.00073404,0.00073404,0.00073404
26,169.006,1.90772,2.09067,2.18505,1.4087,0.56436,0.27343,0.32465,0.15231,0.54524,0.26266,0.29827,0.14513,1.84195,2.25102,2.20641,1.46671,0.000729916,0.000729916,0.000729916
27,175.172,1.86532,2.05928,2.12694,1.42857,0.75948,0.32431,0.31866,0.15138,0.74713,0.31251,0.30136,0.1479,1.87816,2.16403,1.99812,1.46011,0.000725793,0.000725793,0.000725793
28,181.263,1.84482,2.09821,2.10921,1.394,0.69904,0.3396,0.3418,0.1753,0.70874,0.3145,0.32092,0.1685,1.81958,2.10901,1.79923,1.44855,0.00072167,0.00072167,0.00072167
29,187.549,1.83739,2.02343,2.07645,1.39837,0.61237,0.29611,0.32784,0.1458,0.30129,0.36274,0.31626,0.15648,1.92816,2.12048,1.89242,1.45852,0.000717546,0.000717546,0.000717546
30,193.751,1.84511,2.03697,2.05959,1.37976,0.50181,0.51999,0.4363,0.21904,0.4872,0.49673,0.41139,0.22112,1.84767,2.17992,1.84521,1.4342,0.000713423,0.000713423,0.000713423
31,199.922,1.8446,2.05363,2.06199,1.38827,0.81459,0.29206,0.376,0.18911,0.78795,0.27236,0.35743,0.17631,1.83198,2.13023,1.86916,1.46153,0.000709299,0.000709299,0.000709299
32,206.134,1.75948,1.96358,1.91623,1.3472,0.78681,0.31615,0.32647,0.16109,0.76539,0.30958,0.31327,0.14863,1.79834,2.09889,1.83246,1.43433,0.000705176,0.000705176,0.000705176
33,212.368,1.77558,1.98353,1.89165,1.3836,0.50473,0.37824,0.46602,0.26556,0.4762,0.38579,0.4462,0.25794,1.72061,2.08395,1.65159,1.37448,0.000701053,0.000701053,0.000701053
34,218.562,1.75687,1.9291,1.87071,1.33782,0.45071,0.4337,0.42094,0.21063,0.4518,0.43208,0.40397,0.21391,1.75221,2.14648,1.69804,1.4095,0.000696929,0.000696929,0.000696929
35,224.699,1.74101,1.93784,1.86564,1.3191,0.79844,0.32125,0.38213,0.20058,0.39594,0.49356,0.40293,0.21173,1.77477,2.10486,1.67691,1.40167,0.000692806,0.000692806,0.000692806
36,230.785,1.77189,1.97097,1.86809,1.33582,0.37654,0.50128,0.44941,0.20068,0.37656,0.5051,0.44345,0.23818,1.86786,2.06773,1.72428,1.43407,0.000688683,0.000688683,0.000688683
37,237.13,1.73477,1.89555,1.84786,1.34558,0.80912,0.31637,0.37644,0.20747,0.59987,0.3485,0.37794,0.19434,1.69914,2.07604,1.69133,1.38443,0.000684559,0.000684559,0.000684559
