epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.1296,3.10162,6.83444,3.64678,4.20073,0.00246,0.68329,0.0098,0.00443,0,0,0,0,2.9389,5.18599,3.99035,4.14987,0.0032716,0.0032716,0.0032716
2,183.266,2.91705,3.49441,3.10173,3.83023,0.00258,0.72693,0.06558,0.024,0.00132,0.37157,0.03281,0.00729,2.73387,4.18346,3.61119,3.89831,0.00657224,0.00657224,0.00657224
3,210.561,2.22496,2.31843,2.1728,2.99791,0.39751,0.6783,0.42577,0.21836,0.38363,0.65461,0.40292,0.19565,1.87,2.30466,2.73201,2.75216,0.00983988,0.00983988,0.00983988
4,236.965,1.54264,1.87123,1.37121,2.25841,0.83321,0.78803,0.82873,0.5417,0.83274,0.77681,0.80485,0.48091,1.25107,2.10347,1.42954,2.06273,0.0098515,0.0098515,0.0098515
5,262.811,1.20869,1.57988,1.01625,1.86734,0.91081,0.82045,0.88913,0.63319,0.90622,0.81546,0.87352,0.56908,1.07557,1.87406,0.95723,1.79312,0.009802,0.009802,0.009802
6,288.79,1.03064,1.37434,0.85257,1.65744,0.93979,0.89152,0.92063,0.70189,0.93716,0.88903,0.91668,0.66768,0.85557,1.38552,0.81498,1.53507,0.0097525,0.0097525,0.0097525
7,314.696,0.93664,1.24835,0.75513,1.5418,0.9519,0.89401,0.93621,0.75645,0.93649,0.90648,0.93209,0.72886,0.77157,1.27136,0.60651,1.41193,0.009703,0.009703,0.009703
8,340.419,0.85655,1.15285,0.68957,1.44916,0.94869,0.87602,0.92523,0.77135,0.93851,0.87541,0.91527,0.71089,0.72238,1.33044,0.58176,1.35577,0.0096535,0.0096535,0.0096535
9,366.191,0.81225,1.09674,0.64214,1.39445,0.96553,0.9202,0.94782,0.80686,0.96451,0.9202,0.94283,0.77796,0.66422,1.07082,0.4966,1.29536,0.009604,0.009604,0.009604
10,392.365,0.76338,1.03507,0.60787,1.33938,0.96528,0.91771,0.9523,0.81826,0.9607,0.91397,0.94642,0.78865,0.64406,1.0502,0.49091,1.27946,0.0095545,0.0095545,0.0095545
11,418.087,0.72727,0.98866,0.57417,1.3013,0.95407,0.93246,0.94981,0.8263,0.95152,0.92996,0.94849,0.80746,0.62287,0.97837,0.45859,1.23726,0.009505,0.009505,0.009505
12,443.88,0.69124,0.95454,0.55266,1.26373,0.96822,0.93142,0.95045,0.83222,0.96822,0.93142,0.94521,0.80441,0.56878,0.97071,0.44915,1.18196,0.0094555,0.0094555,0.0094555
13,469.748,0.67419,0.92578,0.53306,1.2446,0.97476,0.92519,0.95515,0.84612,0.97476,0.92519,0.95063,0.80705,0.55607,0.97276,0.43751,1.18067,0.009406,0.009406,0.009406
14,495.714,0.64702,0.891,0.51658,1.22274,0.95971,0.92075,0.94799,0.83966,0.96075,0.91572,0.94379,0.79478,0.56406,1.05237,0.44445,1.19416,0.0093565,0.0093565,0.0093565
15,521.411,0.63058,0.87532,0.49592,1.20498,0.96609,0.92348,0.95045,0.8127,0.96478,0.92223,0.94574,0.79957,0.59397,0.92353,0.45867,1.21003,0.009307,0.009307,0.009307
16,547.459,0.60909,0.85971,0.48591,1.1819,0.96878,0.92845,0.94858,0.85816,0.96747,0.92721,0.94649,0.81986,0.51716,0.92855,0.40658,1.14723,0.0092575,0.0092575,0.0092575
17,573.593,0.59631,0.84617,0.47406,1.16949,0.9751,0.9277,0.95094,0.85132,0.97511,0.92824,0.94907,0.82044,0.51184,0.93615,0.39968,1.1328,0.009208,0.009208,0.009208
18,599.583,0.58609,0.826,0.4658,1.15944,0.98246,0.92643,0.95341,0.86272,0.97982,0.92394,0.95205,0.82565,0.51136,0.89879,0.38939,1.13155,0.0091585,0.0091585,0.0091585
19,625.424,0.57166,0.81555,0.46168,1.14632,0.97048,0.92145,0.95495,0.86627,0.96786,0.91895,0.95303,0.83294,0.4957,0.897,0.39741,1.11413,0.009109,0.009109,0.009109
20,651.498,0.56308,0.80291,0.45059,1.13964,0.97785,0.93589,0.95575,0.88004,0.97264,0.9309,0.95431,0.84648,0.48929,0.87766,0.38611,1.09768,0.0090595,0.0090595,0.0090595
21,677.375,0.5484,0.79555,0.44772,1.12502,0.97509,0.93516,0.96082,0.88809,0.97509,0.93516,0.95825,0.83895,0.45873,0.91626,0.35426,1.08464,0.00901,0.00901,0.00901
22,703.315,0.5391,0.77801,0.43243,1.11636,0.9695,0.93392,0.95618,0.87575,0.96758,0.93028,0.9513,0.83911,0.46503,0.87639,0.37652,1.08567,0.0089605,0.0089605,0.0089605
23,729.17,0.52747,0.765,0.42887,1.1123,0.9797,0.93392,0.95987,0.89669,0.97963,0.93142,0.95598,0.8524,0.43443,0.84779,0.34982,1.05848,0.008911,0.008911,0.008911
24,755.295,0.52077,0.75688,0.42113,1.09844,0.96525,0.93524,0.95985,0.88956,0.96655,0.93681,0.95797,0.85112,0.43865,0.85658,0.35654,1.06639,0.0088615,0.0088615,0.0088615
25,780.982,0.51285,0.74859,0.41416,1.09529,0.98606,0.9389,0.9608,0.90006,0.98301,0.93783,0.9601,0.86019,0.42516,0.84087,0.34668,1.05284,0.008812,0.008812,0.008812
26,806.916,0.50414,0.73657,0.40676,1.08563,0.98592,0.93392,0.95641,0.88171,0.98329,0.93142,0.94981,0.8436,0.43896,0.81511,0.34442,1.07044,0.0087625,0.0087625,0.0087625
27,832.547,0.50256,0.73775,0.40228,1.08381,0.9674,0.9389,0.95864,0.88766,0.96586,0.93766,0.95338,0.84613,0.44649,0.85684,0.35718,1.06983,0.008713,0.008713,0.008713
