epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0963,6.35466,7.09522,24.8752,4.20574,0,0,0,0,0,0,0,0,6.39834,5.21061,11.0591,4.16009,0.00015453,0.00015453,0.00015453
2,153.549,6.28998,5.53542,19.4501,4.08153,0,0,0,0,0,0,0,0,6.36576,5.1912,10.2332,4.08193,0.000316575,0.000316575,0.000316575
3,163.29,5.48286,5.08605,13.3687,3.58456,0,0,0,0,0,0,0,0,6.27915,5.16893,8.27568,3.91912,0.000477,0.000477,0.000477
4,172.935,4.02831,4.78129,7.9011,2.55533,0,0,0,0,0,0,0,0,6.214,5.24466,7.25017,3.82757,0.000635806,0.000635806,0.000635806
5,182.517,3.36328,4.24614,5.67036,1.93069,0.0001,0.00437,0.00018,9e-05,2e-05,0.00119,0.00013,2e-05,4.52396,4.92914,6.23481,2.90408,0.000792992,0.000792992,0.000792992
6,192.012,2.92207,3.74892,4.46256,1.68748,0.00372,0.2155,0.02074,0.00724,0.00388,0.25064,0.02508,0.0085,3.0901,4.15035,4.48748,2.01945,0.000886502,0.000886502,0.000886502
7,201.289,2.71711,3.55904,3.93011,1.57701,0.05018,0.21051,0.05058,0.0189,0.19568,0.1209,0.04633,0.01384,2.72862,3.87898,3.86452,1.751,0.000882003,0.000882003,0.000882003
8,210.588,2.59475,3.37554,3.61576,1.50155,0.38498,0.0906,0.0792,0.02946,0.42193,0.09486,0.08065,0.02409,2.53871,3.5125,3.27158,1.61886,0.000877503,0.000877503,0.000877503
9,219.946,2.43461,3.28623,3.27539,1.42313,0.34076,0.14337,0.11497,0.0466,0.31383,0.1188,0.11292,0.04042,2.3571,3.22693,3.27224,1.53427,0.000873004,0.000873004,0.000873004
10,229.267,2.33261,3.14583,3.04034,1.38412,0.27542,0.23623,0.15319,0.06402,0.26164,0.23248,0.15205,0.05666,2.26537,3.05148,2.81234,1.46424,0.000868504,0.000868504,0.000868504
11,238.602,2.26979,3.01399,2.89478,1.35908,0.25121,0.24779,0.16803,0.07279,0.24167,0.24134,0.16664,0.06313,2.22889,2.96695,2.65075,1.41291,0.000864004,0.000864004,0.000864004
12,247.938,2.18106,2.92109,2.72019,1.30917,0.20566,0.24966,0.17671,0.07953,0.20566,0.25453,0.17714,0.07387,2.11895,2.82572,2.55161,1.36358,0.000859505,0.000859505,0.000859505
13,257.395,2.16748,2.90804,2.66104,1.29945,0.23283,0.32183,0.19764,0.08428,0.19914,0.3177,0.18649,0.07426,2.02864,2.76911,2.20242,1.32768,0.000855005,0.000855005,0.000855005
14,267.327,2.1251,2.868,2.55992,1.28361,0.26113,0.29102,0.19743,0.08893,0.25392,0.28563,0.1971,0.07676,2.09228,2.83318,2.25543,1.3496,0.000850506,0.000850506,0.000850506
15,276.725,2.05506,2.78035,2.44446,1.25088,0.29384,0.35578,0.24971,0.11549,0.29184,0.3579,0.25093,0.10262,2.03795,2.66677,2.13193,1.30852,0.000846006,0.000846006,0.000846006
16,286.21,2.03351,2.73978,2.36884,1.24168,0.26998,0.31555,0.19789,0.08748,0.2548,0.31256,0.1937,0.07895,2.12326,2.73613,2.27817,1.34206,0.000841507,0.000841507,0.000841507
17,295.755,1.98435,2.66038,2.32901,1.23088,0.27878,0.45068,0.26731,0.13208,0.27081,0.45417,0.26822,0.12334,1.95249,2.59923,2.00306,1.27247,0.000837007,0.000837007,0.000837007
18,305.328,1.98295,2.66322,2.26204,1.21407,0.32894,0.43485,0.2576,0.1162,0.32616,0.41536,0.25445,0.11206,1.98841,2.62739,2.03458,1.28112,0.000832508,0.000832508,0.000832508
19,315.046,1.96771,2.63372,2.23877,1.2141,0.355,0.45144,0.30181,0.14361,0.35167,0.42382,0.29233,0.12522,1.98107,2.55128,1.95897,1.27607,0.000828008,0.000828008,0.000828008
20,324.428,1.92523,2.57892,2.18977,1.19596,0.30916,0.48087,0.27786,0.13764,0.31398,0.48602,0.28125,0.13142,1.90552,2.46269,1.95209,1.24369,0.000823509,0.000823509,0.000823509
21,333.872,1.93992,2.52703,2.14329,1.19591,0.31,0.43977,0.28335,0.13916,0.31392,0.41276,0.27943,0.13044,1.90815,2.52046,2.00474,1.2469,0.000819009,0.000819009,0.000819009
22,343.215,1.88755,2.51335,2.07122,1.17741,0.28726,0.43825,0.28758,0.13496,0.29029,0.41717,0.29136,0.12863,1.9478,2.53468,1.97789,1.25586,0.000814509,0.000814509,0.000814509
23,352.591,1.90822,2.47836,2.06371,1.18633,0.3614,0.41402,0.32095,0.15937,0.36655,0.41072,0.32483,0.14868,1.86431,2.4376,1.89672,1.22437,0.00081001,0.00081001,0.00081001
24,362.117,1.85733,2.43857,2.02294,1.18081,0.34454,0.51504,0.33414,0.16595,0.33702,0.5109,0.32855,0.15599,1.80118,2.41305,1.84125,1.20627,0.00080551,0.00080551,0.00080551
25,371.385,1.84588,2.43929,1.98523,1.15864,0.34692,0.48487,0.33953,0.16758,0.33618,0.47862,0.34086,0.15611,1.81491,2.36049,1.79659,1.20074,0.000801011,0.000801011,0.000801011
26,381.249,1.83708,2.38988,1.95015,1.16713,0.33989,0.51354,0.3481,0.18134,0.33495,0.50368,0.3429,0.16764,1.80572,2.37111,1.81151,1.19543,0.000796511,0.000796511,0.000796511
27,390.606,1.80846,2.34397,1.94241,1.15898,0.34046,0.48832,0.33289,0.16755,0.33999,0.47438,0.33431,0.15448,1.80489,2.3535,1.84582,1.20526,0.000792012,0.000792012,0.000792012
28,399.982,1.81272,2.34008,1.91365,1.14215,0.39009,0.48727,0.35412,0.17783,0.37771,0.48475,0.35501,0.16653,1.77933,2.31032,1.79377,1.19102,0.000787512,0.000787512,0.000787512
29,409.291,1.76919,2.31021,1.89348,1.1389,0.3202,0.43331,0.33012,0.17526,0.31866,0.42088,0.32883,0.16912,1.76447,2.3265,1.86507,1.18193,0.000783013,0.000783013,0.000783013
30,418.63,1.77996,2.31975,1.85222,1.12944,0.35443,0.50368,0.38287,0.19587,0.36324,0.5092,0.38524,0.18818,1.74579,2.29508,1.78364,1.17348,0.000778513,0.000778513,0.000778513
31,428.296,1.75987,2.30155,1.81785,1.12903,0.35285,0.51407,0.35177,0.17963,0.35119,0.51381,0.35069,0.17149,1.77237,2.31514,1.8047,1.18752,0.000774013,0.000774013,0.000774013
32,437.6,1.76016,2.28386,1.84455,1.12886,0.35633,0.47698,0.35376,0.18287,0.35877,0.47963,0.3525,0.17212,1.73712,2.24671,1.75443,1.17188,0.000769514,0.000769514,0.000769514
33,446.941,1.74009,2.28716,1.80452,1.12831,0.34723,0.49072,0.33123,0.17483,0.33883,0.47166,0.32997,0.16162,1.69572,2.25912,1.72717,1.16129,0.000765014,0.000765014,0.000765014
34,456.16,1.73095,2.25852,1.7936,1.10222,0.33795,0.5031,0.35484,0.18559,0.34124,0.50477,0.35813,0.16866,1.71441,2.21861,1.72587,1.1674,0.000760515,0.000760515,0.000760515
35,465.513,1.72173,2.19138,1.77428,1.12359,0.33377,0.51401,0.34537,0.17785,0.32427,0.50283,0.3334,0.16327,1.708,2.21922,1.7784,1.16512,0.000756015,0.000756015,0.000756015
36,475.041,1.71762,2.18572,1.75652,1.11494,0.33904,0.55177,0.3658,0.19374,0.32705,0.55417,0.36381,0.18345,1.63538,2.2092,1.71438,1.13197,0.000751516,0.000751516,0.000751516
37,484.54,1.70502,2.18957,1.73337,1.10369,0.34654,0.56571,0.35962,0.18815,0.33038,0.56279,0.34826,0.17203,1.68408,2.24026,1.72892,1.15838,0.000747016,0.000747016,0.000747016
38,494.07,1.70253,2.18756,1.72122,1.10947,0.34032,0.46995,0.33604,0.17557,0.34047,0.47333,0.33876,0.16613,1.7026,2.20195,1.78932,1.17074,0.000742517,0.000742517,0.000742517
39,503.598,1.66113,2.1636,1.69435,1.09144,0.34856,0.50594,0.37253,0.19829,0.34107,0.51688,0.37301,0.18901,1.67398,2.13082,1.68432,1.14114,0.000738017,0.000738017,0.000738017
40,513.119,1.65914,2.13517,1.68829,1.09622,0.34682,0.51621,0.35105,0.1855,0.34993,0.51114,0.34737,0.16248,1.68411,2.15771,1.75064,1.14643,0.000733518,0.000733518,0.000733518
41,522.456,1.66783,2.1497,1.68623,1.09764,0.34276,0.50941,0.37153,0.1971,0.33825,0.49773,0.36932,0.17974,1.6733,2.14277,1.7046,1.14645,0.000729018,0.000729018,0.000729018
42,531.87,1.66448,2.13729,1.67657,1.09232,0.31209,0.54556,0.3527,0.1834,0.31358,0.54485,0.35282,0.16006,1.7404,2.15684,1.75404,1.1744,0.000724518,0.000724518,0.000724518
43,541.406,1.63598,2.12347,1.644,1.0844,0.30858,0.53271,0.33919,0.17209,0.31977,0.47871,0.33702,0.1565,1.73917,2.20581,1.73031,1.17217,0.000720019,0.000720019,0.000720019
44,550.91,1.63281,2.08726,1.64894,1.08823,0.36076,0.48638,0.3337,0.18459,0.36529,0.48779,0.33806,0.17302,1.65724,2.15093,1.72867,1.13696,0.000715519,0.000715519,0.000715519
45,560.402,1.66233,2.09721,1.65088,1.09436,0.31811,0.47058,0.33027,0.17766,0.34822,0.4412,0.33043,0.15809,1.70308,2.14897,1.7336,1.15486,0.00071102,0.00071102,0.00071102
46,569.948,1.64438,2.08496,1.66241,1.09139,0.35061,0.48413,0.36819,0.20101,0.35394,0.48481,0.36718,0.19297,1.6572,2.11479,1.69587,1.14639,0.00070652,0.00070652,0.00070652
47,579.455,1.62704,2.04937,1.60641,1.07673,0.32554,0.51104,0.36587,0.19474,0.37562,0.46184,0.36666,0.17983,1.64916,2.08657,1.64046,1.13998,0.000702021,0.000702021,0.000702021
48,589.037,1.62959,2.06075,1.6156,1.07945,0.3719,0.47008,0.35219,0.18661,0.37222,0.47144,0.35367,0.17421,1.69792,2.12971,1.68919,1.15109,0.000697521,0.000697521,0.000697521
49,598.577,1.60894,2.05329,1.5828,1.07598,0.34729,0.56405,0.35973,0.18992,0.34658,0.57369,0.36478,0.17714,1.6897,2.15473,1.68354,1.14699,0.000693022,0.000693022,0.000693022
50,608.097,1.60801,2.03663,1.58069,1.06745,0.38591,0.52549,0.3704,0.19207,0.38467,0.51164,0.35539,0.16734,1.64421,2.09822,1.65065,1.13817,0.000688522,0.000688522,0.000688522
51,617.677,1.58251,2.01518,1.5803,1.0643,0.34521,0.55332,0.37116,0.20996,0.34049,0.52662,0.37103,0.18467,1.59746,2.0799,1.69789,1.11406,0.000684022,0.000684022,0.000684022
52,626.953,1.56821,2.01136,1.54924,1.05797,0.34773,0.59601,0.36441,0.19686,0.34538,0.5921,0.36471,0.1864,1.57947,2.03247,1.66631,1.11059,0.000679523,0.000679523,0.000679523
