epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7075,4.06035,5.58484,4.62291,4.09763,0.0001,0.00987,6e-05,1e-05,0,0,0,0,4.15652,5.07227,4.7643,4.1253,0.00330218,0.00330218,0.00330218
2,92.0698,2.62716,3.47848,2.92956,3.00871,0.28721,0.35111,0.22326,0.10383,0.27253,0.32366,0.20942,0.08325,2.08056,3.17009,2.52425,2.73117,0.00660267,0.00660267,0.00660267
3,134.513,1.93825,2.76447,2.20422,2.30646,0.30132,0.48747,0.33666,0.14952,0.29381,0.48399,0.32646,0.12142,2.00344,2.98176,3.62978,2.63215,0.00987016,0.00987016,0.00987016
4,176.531,1.5424,2.1636,1.6936,1.88081,0.48163,0.72494,0.53596,0.30546,0.4818,0.72084,0.53143,0.27728,1.4825,2.09391,1.70333,2.13184,0.0098515,0.0098515,0.0098515
5,218.41,1.36271,1.82919,1.42312,1.69157,0.46199,0.74206,0.53641,0.31761,0.46874,0.73565,0.54074,0.30041,1.4378,1.84191,1.54758,2.06551,0.009802,0.009802,0.009802
6,260.212,1.24703,1.64155,1.26556,1.58545,0.5297,0.80198,0.54016,0.31727,0.53726,0.80462,0.54827,0.31765,1.45487,1.63414,1.31473,2.06472,0.0097525,0.0097525,0.0097525
7,301.829,1.16777,1.52362,1.17936,1.50813,0.5487,0.80796,0.58568,0.38647,0.55582,0.80907,0.59124,0.3582,1.21029,1.51675,1.20057,1.78572,0.009703,0.009703,0.009703
8,343.871,1.11114,1.4515,1.11702,1.46306,0.51731,0.84282,0.56383,0.36773,0.52427,0.85213,0.57901,0.36427,1.26535,1.45487,1.27476,1.83238,0.0096535,0.0096535,0.0096535
9,385.764,1.06653,1.3748,1.06514,1.42288,0.53091,0.83667,0.5976,0.4042,0.53163,0.8342,0.59962,0.37024,1.16469,1.49793,1.17919,1.7147,0.009604,0.009604,0.009604
10,427.2,1.03571,1.34503,1.03481,1.39556,0.54864,0.85757,0.59751,0.41704,0.55426,0.85991,0.60574,0.3901,1.13594,1.39819,1.08721,1.68987,0.0095545,0.0095545,0.0095545
11,468.88,1.00816,1.30525,1.00845,1.36223,0.55398,0.84424,0.57509,0.39188,0.5568,0.84491,0.57963,0.36616,1.16764,1.39366,1.08506,1.77116,0.009505,0.009505,0.009505
12,510.095,0.98693,1.27787,0.98776,1.34898,0.55451,0.85674,0.5748,0.39724,0.55808,0.86029,0.58464,0.37494,1.11776,1.37873,1.07092,1.67523,0.0094555,0.0094555,0.0094555
13,551.832,0.96756,1.24452,0.97282,1.33213,0.53527,0.85015,0.57062,0.39839,0.54014,0.85543,0.57853,0.37591,1.12362,1.37589,1.08052,1.69165,0.009406,0.009406,0.009406
14,592.978,0.94237,1.22143,0.94951,1.31291,0.56018,0.86182,0.58365,0.41344,0.56421,0.86424,0.58917,0.38642,1.10128,1.30357,1.02777,1.66835,0.0093565,0.0093565,0.0093565
15,635.159,0.93024,1.20942,0.93478,1.30159,0.5462,0.85381,0.5747,0.41029,0.55031,0.85711,0.58271,0.38279,1.07006,1.31574,1.06099,1.62536,0.009307,0.009307,0.009307
16,677.227,0.91084,1.18991,0.91897,1.2862,0.55637,0.87233,0.58163,0.42362,0.5602,0.87484,0.58927,0.39381,1.06564,1.28337,1.04067,1.63143,0.0092575,0.0092575,0.0092575
17,719.018,0.89851,1.17645,0.91187,1.27158,0.56758,0.85716,0.59555,0.43095,0.57202,0.86127,0.60192,0.40101,1.0723,1.27739,1.02136,1.61169,0.009208,0.009208,0.009208
18,760.132,0.88549,1.15835,0.89636,1.26464,0.5793,0.8446,0.62528,0.44685,0.58335,0.84425,0.63195,0.41357,1.04871,1.2939,0.98949,1.60544,0.0091585,0.0091585,0.0091585
19,801.801,0.87706,1.15481,0.88717,1.25247,0.55899,0.85929,0.60162,0.44302,0.56467,0.86658,0.61048,0.40895,1.0205,1.27396,1.00696,1.57565,0.009109,0.009109,0.009109
20,843.254,0.86623,1.14914,0.88056,1.24661,0.57463,0.84468,0.63178,0.45801,0.57993,0.85101,0.64463,0.42748,1.02336,1.24626,0.97721,1.58526,0.0090595,0.0090595,0.0090595
21,884.755,0.85021,1.11697,0.86264,1.24052,0.57548,0.84486,0.63832,0.4565,0.58058,0.84641,0.64438,0.42496,1.03658,1.25928,0.98289,1.60744,0.00901,0.00901,0.00901
22,926.556,0.84697,1.12098,0.85013,1.23398,0.53393,0.85218,0.55515,0.40891,0.53748,0.85598,0.56322,0.37886,1.02046,1.2493,1.06824,1.56509,0.0089605,0.0089605,0.0089605
23,968.026,0.82866,1.10473,0.82279,1.21824,0.55393,0.84611,0.57762,0.42196,0.55818,0.85029,0.58403,0.39251,1.0171,1.22136,1.06624,1.57608,0.008911,0.008911,0.008911
24,1009.55,0.824,1.1007,0.81911,1.21462,0.58187,0.81309,0.63595,0.46008,0.58693,0.8187,0.64343,0.42439,1.01844,1.23621,0.99793,1.56408,0.0088615,0.0088615,0.0088615
25,1050.79,0.81617,1.08746,0.80112,1.20035,0.61829,0.76504,0.67265,0.48453,0.62416,0.77142,0.68263,0.44771,1.01257,1.23292,0.97964,1.59217,0.008812,0.008812,0.008812
