Model,Precision,Recall,F1_mean,mAP50,mAP50-95,Params(M),FLOPs(G),Infer Time(ms),F1_cls0,F1_cls1,F1_cls2,F1_cls3,F1_cls4,F1_cls5,F1_cls6,F1_cls7
PCC_body_feature,0.7903703937747181,0.6891891891891891,0.736320101085143,0.6901778540876509,0.30004520820218356,2.824643,5.32163456,7.126331329345703,0.736320101085143,,,,,,,
PCC_head_feature,0.45407171575344746,0.3653805013391067,0.33608700206260694,0.37335381194216816,0.21374519994244795,2.826008,5.32539776,7.085561752319336,0.0,0.531396897280482,0.12120355179510686,0.5865551753532617,0.6688657750112594,0.0,0.7806746170607456,0.0
PCC_horse,0.9867344157165391,0.9451371571072319,0.9654879481735288,0.9586534204363824,0.8713702480141878,2.824643,5.32163456,6.860971450805664,0.9654879481735288,,,,,,,
PCC_limb-feature,0.3597579942794811,0.5275792375255903,0.4228693600714522,0.3760790871231761,0.18675343162326905,2.825813,5.32486016,7.054328918457031,0.28079579519631503,0.3550442510839807,0.4738873983313193,0.5566977495107779,0.4291327051068926,0.5562266658577353,0.3083009554131448,
orin_body_feature,0.8107009170819388,0.7387387387387387,0.7730487221359239,0.7511342930500282,0.31250518863863436,3.258259,5.98656,5.71751594543457,0.7730487221359239,,,,,,,
orin_head_feature,0.4982764796866832,0.3747672619087278,0.29027047400716993,0.4418352342282391,0.24339775874171748,3.259624,5.9903232,6.072998046875,0.0,0.3893179213131387,0.12865167846011644,0.5527385651919677,0.5453656922438779,0.0,0.6613502863860828,0.04473964846217559
orin_horse,0.9908280244490538,0.9428859900491318,0.9662627004785026,0.96394600299784,0.896696398193539,3.258259,5.98656,11.288642883300781,0.9662627004785026,,,,,,,
orin_limb-feature,0.3893602392311183,0.5335480212376067,0.44515596048128014,0.3848476659547342,0.19803872779192538,3.259429,5.9897856,6.1130523681640625,0.280803778264478,0.43708954420534485,0.4745641182675896,0.5602031461273306,0.4609133305193891,0.5275103095904022,0.37500749639442665,
orin_part,0.6421770192832363,0.7976307712441036,0.7095080907385071,0.6900524064769575,0.46989272248015934,3.259234,5.989248,6.86192512512207,0.6225039469628192,0.5844574279098644,0.8922944699056282,0.6554865832862071,0.5748906768990184,0.9274154394675052,,
PCC_part,0.6006832946785594,0.7802467837439487,0.6746260031144881,0.6414843096127721,0.4319270677083024,2.825618,5.32432256,8.417129516601562,0.5541062326943514,0.49963185093655876,0.8724535900593924,0.5936073069283472,0.6007668099916827,0.9271902280765957,,
